movie_name,movie_slice,roi_index,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24
1～１9セグメント.AVI,0001,1, 31.9742, 56.2543, 31.1923, 25.1092, 24.0091, 38.6580, 38.0445, 34.8713, 45.5691, 13.2625, 46.0300, 53.6503, 12.8041, 27.9809, 29.8887, 63.0924, 46.0597,  7.2661, 65.3320, 50.3765, 57.3502, 25.2343, 10.2747, 11.6264
1～１9セグメント.AVI,0002,1, 31.3994, 55.6830, 30.5930, 24.8646, 23.3318, 38.0878, 37.6469, 33.6994, 45.0554, 13.1007, 45.7800, 53.4678, 12.3397, 27.4628, 29.1936, 62.1764, 45.8094,  7.3691, 64.4945, 49.7588, 56.7742, 25.1797, 10.0683, 11.5684
1～１9セグメント.AVI,0003,1, 31.9089, 56.4156, 30.8227, 25.2392, 23.3840, 37.8476, 37.9483, 34.4209, 45.5563, 13.2198, 45.9514, 53.7824, 12.7124, 28.6480, 29.9325, 62.4133, 45.8844,  7.2880, 64.8226, 49.5852, 57.3432, 24.3952, 10.1522, 11.8126
1～１9セグメント.AVI,0004,1, 31.1575, 55.7309, 30.6379, 24.8617, 22.7146, 37.5391, 37.7800, 33.7027, 45.0452, 13.0339, 45.3882, 53.2762, 12.4318, 28.0564, 29.6649, 62.2250, 46.2578,  7.1462, 64.8769, 50.1020, 57.1607, 24.7097,  9.6338, 11.5375
1～１9セグメント.AVI,0005,1, 31.0931, 55.9236, 30.2430, 24.7883, 23.0561, 37.6731, 37.2711, 34.1078, 44.8600, 12.8708, 45.4107, 53.3846, 11.8877, 27.8711, 29.4210, 62.0519, 46.0583,  6.9761, 64.8862, 49.3122, 56.8924, 25.1994, 10.0721, 10.9073
1～１9セグメント.AVI,0006,1, 31.5068, 56.6353, 30.9327, 24.8902, 23.3555, 38.6809, 37.7843, 34.0911, 45.0152, 13.0009, 46.1069, 54.0851, 12.5328, 28.2540, 29.5669, 62.4203, 46.2147,  7.8193, 65.2997, 49.9637, 56.9188, 25.1875, 10.5444, 12.1155
1～１9セグメント.AVI,0007,1, 31.2670, 55.8408, 30.6543, 24.8534, 23.4307, 37.4482, 37.5431, 34.1819, 45.4746, 12.7557, 45.9278, 53.8828, 12.7412, 28.5078, 29.5711, 62.2703, 45.9328,  7.3354, 65.0004, 49.5738, 57.2396, 25.0078, 10.2711, 11.1262
1～１9セグメント.AVI,0008,1, 31.3775, 55.5626, 30.6623, 24.5965, 23.4127, 37.6599, 37.8179, 34.1412, 44.9539, 12.7820, 45.3018, 53.3351, 12.5165, 26.8638, 29.6430, 62.2062, 46.2866,  7.6810, 64.4859, 49.6318, 56.8449, 25.0854, 10.1535, 11.3507
1～１9セグメント.AVI,0009,1, 31.4941, 55.8253, 30.9703, 24.7377, 23.3347, 37.9525, 37.5514, 34.4262, 45.1964, 12.6943, 45.5208, 53.9578, 12.6400, 28.3907, 29.5056, 62.1719, 45.9353,  6.8361, 64.7772, 49.5184, 56.3234, 24.9627,  9.9668, 11.0557
1～１9セグメント.AVI,0010,1, 31.4487, 56.1498, 30.8245, 25.3121, 23.2626, 37.8471, 37.9895, 34.0937, 45.5119, 13.1947, 46.0940, 53.2149, 12.3608, 27.6583, 29.4072, 62.2876, 45.9852,  7.1658, 64.8851, 49.5267, 56.8770, 25.7992, 10.4886, 11.1204
1～１9セグメント.AVI,0011,1, 31.6401, 55.9333, 31.3329, 25.1879, 23.1511, 37.9041, 37.8289, 34.2055, 45.5272, 12.9277, 45.2079, 53.5665, 12.4723, 28.3668, 29.5107, 62.3829, 46.0847,  7.6488, 65.0552, 49.6960, 56.8226, 24.3770,  9.8934, 11.4121
1～１9セグメント.AVI,0012,1, 32.0839, 56.0293, 30.5694, 24.6162, 23.5066, 37.8852, 37.6244, 34.2682, 45.2501, 12.7770, 45.9915, 53.7789, 12.6302, 28.2963, 29.6287, 62.2926, 45.9819,  7.6566, 64.8139, 49.9253, 56.9853, 25.6977,  9.8789, 11.3460
1～１9セグメント.AVI,0013,1, 31.5820, 56.1552, 31.0046, 25.6164, 23.5977, 38.0157, 37.9036, 34.0582, 45.4198, 12.6254, 45.9392, 53.5326, 12.3642, 27.9725, 29.4089, 62.3150, 46.2619,  7.7287, 65.3970, 49.8786, 57.2825, 24.8008, 10.2111, 11.3053
1～１9セグメント.AVI,0014,1, 31.8634, 56.0580, 31.1412, 24.2848, 23.8490, 38.2444, 37.6890, 34.1856, 45.5826, 13.2592, 45.4013, 53.5395, 13.0668, 27.9509, 29.8380, 62.8284, 46.3368,  7.4373, 64.8784, 50.0933, 56.9607, 24.7013, 10.1669, 11.2005
1～１9セグメント.AVI,0015,1, 31.1751, 55.7882, 30.2409, 25.3850, 23.3586, 37.9149, 37.5101, 33.9816, 45.0120, 12.8165, 45.6845, 53.4961, 12.3165, 28.2280, 29.8487, 62.0664, 46.3605,  7.5666, 64.7707, 49.1001, 56.6877, 25.2171,  9.5205, 10.7619
1～１9セグメント.AVI,0016,1, 31.5853, 55.6942, 30.1808, 25.1162, 23.4160, 37.7976, 37.6763, 34.1523, 44.9179, 12.5253, 45.9843, 53.5734, 12.3104, 27.4633, 29.5536, 61.8210, 45.7436,  7.7623, 64.2682, 49.4001, 56.4634, 25.4720,  9.7309, 11.1122
1～１9セグメント.AVI,0017,1, 31.2550, 55.5902, 30.3016, 23.9436, 23.2618, 37.6226, 37.2810, 33.9340, 44.9606, 12.5838, 45.2047, 53.5159, 12.5257, 27.7257, 28.9698, 61.9814, 45.7992,  7.3983, 64.0011, 49.6338, 56.0739, 24.5976,  9.8858, 11.2639
1～１9セグメント.AVI,0018,1, 30.9773, 55.5547, 30.2703, 24.8356, 22.9258, 38.2365, 37.0838, 34.1049, 44.8574, 12.6141, 45.9117, 53.6473, 12.2289, 28.0436, 28.6321, 61.7910, 45.7366,  7.8310, 64.5109, 49.4859, 56.2992, 24.9727,  9.8954, 11.4437
1～１9セグメント.AVI,0019,1, 31.2941, 55.5240, 30.6777, 24.7842, 23.3706, 38.1968, 36.8694, 33.9378, 44.8580, 12.9855, 45.2668, 53.4962, 11.9849, 27.8034, 29.0029, 61.4005, 45.5673,  7.4434, 64.4291, 49.3434, 56.5372, 25.1953,  9.7890, 10.8747
1～１9セグメント.AVI,0020,1, 31.7257, 56.0598, 30.6599, 24.8288, 24.1051, 37.9230, 37.6668, 34.7182, 45.1834, 12.9798, 45.9181, 54.1152, 12.3674, 29.0035, 29.9059, 62.1869, 46.2903,  7.5382, 64.6954, 49.5458, 57.1734, 25.0590, 10.3702, 11.5251
1～１9セグメント.AVI,0021,1, 31.3849, 55.8563, 30.6497, 24.9853, 23.4464, 37.6974, 37.6772, 34.6463, 44.9816, 13.2538, 45.8366, 53.5020, 12.5239, 27.7596, 29.4463, 62.3273, 45.8851,  7.7883, 65.0435, 49.6033, 57.0726, 25.6825, 10.0569, 10.8550
1～１9セグメント.AVI,0022,1, 31.4486, 56.0044, 30.7172, 23.9501, 23.4578, 38.1760, 37.6848, 33.4362, 45.0565, 13.0405, 45.2479, 53.8105, 12.1858, 27.3382, 29.2942, 61.9435, 46.3216,  7.3386, 64.9491, 49.4214, 56.6212, 24.9379,  9.8187, 11.0492
1～１9セグメント.AVI,0023,1, 31.4998, 55.7781, 30.2489, 24.8774, 23.2606, 37.7542, 37.4556, 34.0354, 44.6010, 12.5348, 45.3457, 53.2155, 12.0827, 27.7822, 29.3486, 61.7841, 45.8201,  7.6029, 64.4707, 49.5958, 56.3861, 24.8771,  9.8387, 11.4881
1～１9セグメント.AVI,0024,1, 31.3041, 56.1605, 31.0023, 25.3986, 23.7429, 38.0023, 37.4956, 34.1664, 45.6612, 13.1878, 45.3452, 53.7233, 12.2618, 28.0422, 29.2154, 62.3444, 46.3008,  7.9166, 65.1848, 50.0295, 57.1955, 24.5083, 10.2397, 11.3351
1～１9セグメント.AVI,0025,1, 31.4743, 56.4042, 30.8233, 25.2059, 23.6452, 37.5913, 37.6896, 34.2805, 45.4379, 12.6715, 45.4144, 53.5212, 12.3169, 28.3363, 29.4900, 62.4162, 46.2065,  7.3338, 64.7139, 50.0544, 57.1583, 25.1264,  9.9806, 11.1887
1～１9セグメント.AVI,0026,1, 31.6391, 55.7412, 30.6110, 24.5092, 23.0817, 37.9832, 37.8309, 33.9659, 45.3806, 13.1958, 45.4876, 53.7701, 12.3561, 28.4401, 29.1025, 62.3715, 46.4737,  7.5814, 64.6297, 49.9078, 57.1479, 25.0113, 10.0194, 11.0500
1～１9セグメント.AVI,0027,1, 31.2973, 55.7598, 30.3912, 25.1727, 23.7018, 37.7245, 37.4612, 34.2193, 45.2156, 13.1227, 45.6337, 53.6779, 12.5125, 28.1329, 30.1968, 62.1921, 46.2793,  7.6560, 65.1745, 50.2093, 56.9540, 25.6680,  9.9792, 11.2148
1～１9セグメント.AVI,0028,1, 31.7978, 56.0556, 30.3694, 25.0063, 23.5243, 37.9901, 37.6189, 34.9286, 45.5007, 13.1929, 45.2803, 53.8696, 12.2859, 28.4280, 29.8181, 62.3775, 46.0902,  7.3759, 65.0508, 50.1032, 56.6842, 24.9084,  9.9165, 10.9991
