movie_name,movie_slice,roi_index,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24
1～１9セグメント.AVI,0001,1, 33.0133, 57.5018, 31.4723, 25.3475, 25.6479, 38.6198, 39.2200, 35.1390, 47.4984, 14.7766, 47.6202, 54.7036,  8.7631, 11.5265, 20.4965, 59.2577, 48.4031, 24.7597,  8.1417, 29.1257, 27.7934, 51.2875, 33.2971, 11.6125
1～１9セグメント.AVI,0002,1, 32.9091, 57.5851, 32.3476, 25.4224, 25.5897, 38.8438, 38.8214, 35.6820, 47.7692, 15.1228, 47.9499, 55.3278,  8.3933, 12.7839, 20.8716, 59.3483, 48.6522, 24.3829,  8.7088, 29.1878, 27.2708, 52.6273, 34.3625, 11.5290
1～１9セグメント.AVI,0003,1, 32.7919, 57.0658, 31.7827, 25.9171, 25.6571, 38.4700, 38.3884, 35.2628, 47.1275, 14.9204, 47.5714, 55.2575,  8.5445, 11.9853, 20.3823, 59.2177, 47.9463, 24.2549,  8.4125, 29.3407, 27.3372, 51.3403, 33.6750, 11.7976
1～１9セグメント.AVI,0004,1, 32.1861, 56.1545, 30.8833, 25.1512, 24.4398, 37.4965, 37.8574, 33.7368, 45.3765, 13.4904, 45.4653, 52.8854,  7.4432, 11.2517, 19.0373, 56.8144, 45.4266, 21.1650,  7.9078, 26.9107, 25.6733, 48.7976, 30.5441,  9.4755
1～１9セグメント.AVI,0005,1, 33.3032, 57.7648, 32.6933, 26.5451, 26.6228, 39.2721, 39.7571, 35.6800, 47.9096, 15.1640, 48.6692, 55.6478,  8.1317, 12.3347, 20.8098, 59.6030, 48.6997, 24.7865,  8.4067, 30.6202, 28.1634, 52.2974, 34.1212, 12.1847
1～１9セグメント.AVI,0006,1, 33.1870, 57.6776, 32.6496, 25.3794, 25.3052, 39.2434, 39.5003, 35.3575, 47.4054, 14.5488, 48.0177, 55.2295,  8.5196, 12.3814, 20.4532, 59.4405, 48.7992, 23.8745,  8.7103, 29.2284, 27.9052, 51.9517, 33.0717, 12.1293
1～１9セグメント.AVI,0007,1, 33.0370, 57.7354, 32.2931, 26.2519, 26.2999, 39.4874, 39.5753, 35.9687, 47.6824, 14.8635, 48.4914, 55.2594,  8.6928, 12.4530, 20.8807, 59.5674, 48.3854, 24.6916,  8.4898, 29.4140, 27.4717, 51.9743, 33.6786, 11.0053
1～１9セグメント.AVI,0008,1, 33.4525, 57.8246, 32.3361, 26.1186, 25.4740, 39.2388, 39.7668, 35.4176, 47.5583, 14.5652, 48.3062, 55.1580,  8.5641, 13.0040, 20.8063, 60.1041, 48.5256, 23.7182,  8.9746, 29.2608, 27.3686, 52.2778, 33.9861, 11.3905
1～１9セグメント.AVI,0009,1, 33.0152, 57.6595, 32.7379, 25.8115, 25.5692, 39.4351, 39.2572, 35.6465, 47.7746, 14.7037, 48.0252, 55.2564,  9.1887, 12.5871, 20.5733, 59.5858, 48.4927, 24.1395,  8.7632, 29.4709, 27.5211, 52.5349, 33.7373, 11.4492
1～１9セグメント.AVI,0010,1, 33.3964, 58.1730, 32.8759, 25.8722, 26.0901, 39.1698, 39.4619, 35.7123, 47.5984, 15.2974, 47.7701, 55.4315,  8.4751, 12.6215, 20.6967, 60.0021, 48.5542, 24.5885,  8.5571, 28.5270, 28.0714, 52.6310, 33.6380, 11.3223
