movie_name,movie_slice,roi_index,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24
MVI_7984.MOV,0001,1, 44.1527, 72.8475, 41.2606, 37.4805, 35.3610, 48.3984, 49.0056, 45.1680, 56.6523, 25.2290, 56.9400, 66.5342, 20.9728, 35.0629, 38.3305, 73.5022, 59.7057, 37.6853, 77.2963, 60.8768, 70.1019, 46.2341, 19.3367, 12.2101
MVI_7984.MOV,0002,1, 45.8950, 74.2823, 41.7799, 38.7990, 36.7850, 50.1640, 51.3521, 47.4704, 57.3302, 26.1480, 59.0263, 68.2031, 22.8399, 37.2709, 39.9452, 75.0355, 61.7655, 39.9796, 79.4292, 63.3103, 72.0050, 47.5089, 19.7325, 14.0248
MVI_7984.MOV,0003,1, 46.4984, 75.0611, 43.5574, 39.5730, 37.3136, 50.8315, 52.0970, 48.4306, 58.8614, 26.6883, 59.7731, 68.9325, 23.5574, 38.4135, 40.6692, 75.7839, 62.1002, 40.3403, 79.9009, 64.2307, 72.6012, 48.3899, 20.3799, 14.3428
MVI_7984.MOV,0004,1, 46.5883, 75.0985, 43.2046, 39.2320, 37.4782, 50.5611, 52.1903, 48.2538, 59.0932, 26.9843, 59.9813, 68.8400, 23.6428, 38.2475, 40.6853, 75.7802, 62.1709, 40.3238, 79.8122, 64.1025, 72.9352, 48.3285, 20.2550, 14.4889
MVI_7984.MOV,0005,1, 46.2783, 75.4583, 43.3854, 39.5262, 37.6470, 50.7883, 52.1223, 48.5993, 59.2328, 26.7963, 59.7180, 68.8976, 23.5762, 38.5580, 40.8971, 75.7259, 62.3056, 40.4288, 80.0067, 64.4173, 72.9230, 48.4175, 20.2928, 14.7041
MVI_7984.MOV,0006,1, 46.5129, 75.2288, 43.4068, 39.4388, 37.7557, 50.6374, 51.9255, 48.4217, 59.2535, 26.9745, 59.5045, 68.8341, 23.5308, 38.1166, 40.7381, 76.0047, 62.4223, 40.6335, 80.0865, 64.2364, 72.9410, 48.6158, 20.4691, 14.4728
MVI_7984.MOV,0007,1, 46.6238, 75.0965, 43.4308, 39.3984, 37.6559, 50.6650, 52.0572, 48.3379, 59.0959, 26.9047, 59.8176, 68.8679, 23.4205, 38.2073, 40.8705, 75.8544, 62.2815, 40.4036, 80.0695, 64.2762, 72.8798, 48.1529, 20.5688, 14.5941
MVI_7984.MOV,0008,1, 46.6960, 75.2883, 43.3430, 39.4603, 37.4765, 50.8325, 51.8170, 48.6381, 59.0106, 26.6549, 59.7103, 68.8665, 23.3704, 38.3351, 40.8641, 75.7470, 62.1394, 40.4114, 79.8922, 64.1271, 72.7637, 48.2577, 20.4350, 14.0997
MVI_7984.MOV,0009,1, 46.6202, 75.1732, 43.3981, 39.2772, 37.4104, 50.7959, 51.9347, 48.2321, 59.1689, 26.7981, 59.7217, 68.7651, 23.3175, 38.1438, 40.6837, 75.5954, 62.3523, 40.2133, 80.0624, 64.2147, 72.8921, 48.2420, 20.3831, 14.2989
MVI_7984.MOV,0010,1, 46.5330, 75.0512, 43.4330, 39.7195, 37.5640, 50.9334, 52.1206, 48.2417, 59.1391, 26.8404, 59.7885, 68.8367, 23.5231, 38.4433, 40.6329, 75.9105, 62.3205, 40.2945, 80.1276, 64.3784, 72.7902, 48.5129, 20.3152, 14.4808
MVI_7984.MOV,0011,1, 46.6243, 75.1668, 43.4497, 39.3185, 37.8626, 50.8023, 51.8296, 48.4682, 59.2935, 26.9761, 59.9785, 68.9599, 23.6863, 37.9040, 40.9231, 75.9438, 62.4707, 40.2983, 80.0314, 64.3171, 72.8411, 48.3457, 20.1734, 14.6271
MVI_7984.MOV,0012,1, 46.6971, 75.2312, 43.2574, 39.3293, 37.6887, 50.6798, 52.0413, 48.7030, 58.9725, 26.7041, 59.9905, 68.9532, 23.6120, 37.9140, 40.6532, 75.9039, 62.0991, 40.5353, 80.0289, 64.2994, 72.7243, 48.6299, 20.6388, 14.4456
MVI_7984.MOV,0013,1, 46.6296, 75.0759, 43.7206, 39.4671, 37.6488, 50.6359, 52.0214, 48.5461, 59.0561, 26.8197, 59.9459, 69.0607, 23.5932, 38.0824, 40.8371, 76.0284, 62.4025, 40.2021, 79.9657, 64.1547, 72.8051, 48.3602, 20.1576, 14.2652
MVI_7984.MOV,0014,1, 46.7356, 75.3442, 43.4837, 39.8116, 37.8191, 50.6703, 52.1191, 48.5836, 59.4751, 27.1294, 59.9658, 68.8873, 23.5922, 38.1435, 40.8575, 75.8768, 62.3990, 40.5490, 80.1156, 64.4226, 72.7922, 48.6697, 20.4860, 14.7055
