movie_name,movie_slice,roi_index,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24
MCi1.MOV,0001,1, 25.5300, 52.2242, 23.3966, 15.9954, 16.2484, 26.5398, 31.8756, 25.9132, 38.5975,  9.4402, 34.5810, 45.0210, 11.0810, 21.8163, 26.3549, 57.1964, 39.5205, 20.5018, 67.4873, 48.4337, 59.1668, 28.9792,  5.2284,  3.9858
MCi1.MOV,0002,1, 34.0694, 62.4753, 30.6129, 28.8781, 27.5114, 34.7803, 42.1518, 34.5809, 48.3187, 20.2678, 49.2761, 54.1807, 17.3101, 30.1761, 33.1078, 70.2096, 52.0026, 29.1663, 76.4514, 58.5048, 68.7795, 42.4144, 14.8215,  9.3196
MCi1.MOV,0003,1, 34.2349, 62.3297, 30.5272, 28.7893, 27.4713, 34.9732, 42.2234, 34.3803, 48.1176, 20.4325, 49.3798, 54.8586, 18.4211, 30.5933, 33.2409, 70.4275, 52.0259, 29.3074, 76.2362, 58.4698, 68.9350, 43.0135, 14.6925, 10.7405
MCi1.MOV,0004,1, 35.4719, 63.7367, 31.9394, 29.9543, 28.8520, 36.8781, 43.5735, 35.9855, 49.5389, 21.1012, 50.9673, 56.1638, 19.5573, 31.5340, 34.4643, 71.5584, 53.7258, 30.3948, 77.2946, 60.0782, 70.0391, 43.9577, 15.3844, 11.7467
MCi1.MOV,0005,1, 35.7526, 63.7756, 32.1492, 30.2477, 28.8387, 37.0623, 43.9338, 36.0443, 49.9341, 21.2711, 51.1352, 56.6666, 19.4523, 31.7105, 34.3600, 71.6285, 54.0382, 30.7937, 77.6299, 60.2134, 70.1777, 44.3990, 15.6063, 11.5718
MCi1.MOV,0006,1, 35.7713, 63.9137, 32.1543, 30.1470, 29.0968, 37.1587, 44.0804, 36.5117, 50.0041, 21.4216, 51.2188, 56.7295, 19.3412, 31.6419, 34.4963, 71.5252, 53.8633, 30.6127, 77.3832, 60.3722, 70.2759, 44.1023, 15.7612, 11.5577
MCi1.MOV,0007,1, 36.0635, 64.0335, 32.3674, 29.9717, 29.0146, 37.0487, 44.3656, 36.1018, 49.9026, 21.2523, 51.1269, 56.9174, 19.4046, 31.6713, 34.4061, 71.6686, 54.0700, 30.8307, 77.7018, 60.0825, 70.3334, 44.1305, 15.4518, 11.4420
MCi1.MOV,0008,1, 36.1801, 63.8324, 32.4253, 30.1793, 28.9401, 37.0762, 44.1388, 36.2585, 49.9961, 21.4999, 51.2089, 56.6073, 19.4200, 31.8997, 34.7112, 71.8092, 53.8393, 30.6349, 77.4994, 60.4282, 70.4257, 44.2150, 15.2678, 11.7578
MCi1.MOV,0009,1, 36.0962, 64.0177, 32.3561, 29.6815, 28.9318, 37.2810, 44.0642, 36.1277, 49.9170, 21.4263, 51.1006, 56.6723, 19.6059, 31.8223, 34.7927, 71.7606, 53.7928, 30.6753, 77.4126, 60.4988, 70.2085, 44.0881, 15.5399, 11.9482
MCi1.MOV,0010,1, 35.9566, 64.0104, 32.4038, 30.3955, 28.8153, 37.3585, 43.9614, 35.8872, 49.9191, 21.7439, 51.1768, 56.7640, 19.5245, 31.5553, 34.7385, 71.6518, 53.9062, 30.9634, 77.6655, 60.2975, 70.3725, 44.1499, 15.8144, 11.8706
MCi1.MOV,0011,1, 35.9243, 63.9985, 32.3689, 30.2137, 28.9293, 36.9475, 44.1350, 35.9454, 49.9819, 21.2625, 51.3088, 56.8257, 19.5269, 31.0465, 34.4499, 71.6551, 53.7809, 30.7623, 77.4942, 60.1474, 70.1912, 44.0633, 15.6445, 11.7688
MCi1.MOV,0012,1, 35.9588, 63.7406, 32.2625, 30.2071, 28.9972, 37.3645, 44.1170, 35.9166, 49.6428, 21.5092, 51.2284, 56.6306, 19.4322, 31.9508, 34.5447, 71.8581, 53.8452, 30.5638, 77.5451, 60.3015, 70.3337, 44.3434, 15.2448, 11.5519
MCi1.MOV,0013,1, 36.2409, 63.8167, 32.3746, 30.0496, 28.8016, 37.2995, 44.0429, 36.1518, 49.8379, 21.2058, 51.2634, 56.6926, 19.5843, 31.5257, 34.8003, 71.5910, 53.9310, 30.7477, 77.6329, 60.3769, 70.3326, 44.1087, 15.6943, 11.7934
