movie_name,movie_slice,roi_index,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24
Movie 01.MOV,0001,1, 15.1395,  7.5823, 38.3028, 58.6126, 52.3821, 65.8015, 22.3949, 50.4121, 62.3153, 33.1074, 29.5351, 15.6914, 56.6436, 51.7600, 22.8886, 51.5828, 38.5886, 44.8293, 41.2669, 32.2314, 33.0690, 34.9095, 58.8624, 36.0055
Movie 01.MOV,0002,1, 15.5528,  7.8188, 38.5531, 58.7092, 52.6083, 65.6722, 22.5917, 50.5411, 62.1108, 32.9461, 29.7536, 16.0452, 56.8454, 51.9708, 22.9320, 51.3643, 38.1736, 44.7208, 41.6659, 32.5622, 32.9441, 34.8177, 58.7104, 36.1867
Movie 01.MOV,0003,1, 15.1266,  7.7393, 38.0585, 58.5602, 52.6018, 65.3333, 22.5615, 50.7451, 62.1010, 33.0496, 29.6523, 15.8861, 56.5972, 52.0131, 23.0679, 51.5443, 38.4097, 44.6556, 41.3595, 32.4094, 33.2298, 34.9761, 58.8033, 35.9617
Movie 01.MOV,0004,1, 15.4599,  7.4566, 38.1832, 58.4493, 52.6388, 65.3239, 22.0113, 50.4552, 62.1550, 33.0132, 29.4287, 15.7792, 56.9717, 51.9128, 23.1632, 51.2890, 38.2111, 44.3540, 41.2941, 31.9948, 33.1405, 34.9185, 58.9132, 36.0567
Movie 01.MOV,0005,1, 15.4401,  7.4007, 38.6019, 58.9076, 52.5983, 65.5981, 22.7170, 50.4789, 62.2379, 33.1686, 30.0232, 15.9715, 56.7805, 51.9830, 23.1463, 51.3910, 38.5732, 44.8471, 41.6631, 32.5335, 33.0735, 34.8879, 58.7192, 36.3877
Movie 01.MOV,0006,1, 15.3805,  7.7421, 38.3318, 58.6548, 52.6873, 65.6582, 22.9115, 50.7853, 62.1873, 33.3707, 29.8594, 16.2737, 57.0213, 52.3411, 23.0379, 51.6367, 38.5266, 44.7240, 41.4974, 32.6841, 33.2530, 35.0855, 59.0454, 36.5234
Movie 01.MOV,0007,1, 15.5920,  7.4538, 38.2978, 58.7342, 52.4459, 65.5160, 22.4955, 50.6661, 62.1460, 33.1443, 30.0842, 16.2732, 56.6914, 52.0805, 22.9254, 51.5910, 38.4892, 45.0786, 41.4470, 32.4932, 33.4513, 35.1408, 58.8642, 36.2610
Movie 01.MOV,0008,1, 15.3525,  7.7573, 38.3057, 58.4739, 52.4284, 65.5909, 22.5843, 50.7334, 62.1997, 33.2176, 29.7848, 16.0620, 56.7809, 51.9501, 22.8264, 51.4095, 38.5099, 44.7510, 41.8596, 32.4360, 33.1174, 34.7824, 58.8712, 36.3681
Movie 01.MOV,0009,1, 15.4342,  7.5917, 38.2979, 58.2938, 52.4698, 65.3180, 22.7546, 50.6635, 62.0818, 33.1526, 29.5337, 16.0850, 56.5663, 52.2092, 22.6469, 51.4053, 38.2306, 44.6022, 41.5539, 32.6777, 33.2212, 34.3960, 58.6792, 36.2183
Movie 01.MOV,0010,1, 15.3137,  7.6804, 38.2980, 58.6911, 52.5939, 65.6642, 22.4406, 50.4348, 62.3781, 32.9270, 29.8408, 15.9740, 57.0018, 51.9689, 22.9427, 51.3429, 38.2821, 44.5005, 41.6269, 32.6773, 33.7044, 34.8710, 58.7727, 35.9362
Movie 01.MOV,0011,1, 15.3098,  7.6135, 38.3390, 58.6717, 52.4922, 65.4843, 22.4491, 50.6454, 62.0350, 32.9202, 29.4531, 16.0733, 57.0538, 52.0181, 22.9680, 51.2983, 38.4819, 44.4768, 41.4251, 32.3745, 33.1230, 34.9766, 58.8300, 36.0325
Movie 01.MOV,0012,1, 15.4111,  7.4706, 38.6528, 58.8324, 52.7114, 65.7310, 22.4499, 50.6081, 62.1625, 33.3047, 29.7861, 16.1021, 57.0508, 52.1471, 23.2544, 51.5692, 38.3974, 44.7242, 41.9413, 32.4106, 33.4142, 35.2515, 58.8727, 36.2701
Movie 01.MOV,0013,1, 15.2802,  7.5161, 38.5820, 58.6931, 52.8440, 65.7785, 22.4488, 50.6764, 62.1970, 33.2856, 29.7320, 16.2025, 57.0304, 52.2427, 23.1629, 51.7607, 38.6734, 44.8452, 42.0917, 32.4296, 33.3324, 34.7795, 59.1405, 36.6868
Movie 01.MOV,0014,1, 15.3029,  7.4577, 38.5213, 58.8476, 52.6274, 65.7672, 22.4502, 50.7939, 62.3946, 33.2751, 29.7650, 16.2168, 56.9301, 52.2541, 22.9306, 51.4020, 38.6098, 44.7821, 41.8215, 32.5024, 33.5488, 35.2743, 59.1175, 36.4922
Movie 01.MOV,0015,1, 15.5707,  7.7060, 38.5710, 58.8401, 52.7176, 65.8114, 22.6999, 50.6962, 62.0987, 33.0422, 29.8743, 15.7368, 56.8822, 52.1953, 22.7286, 51.5636, 38.5726, 44.6926, 41.6355, 32.4372, 33.4245, 35.4215, 58.7971, 36.5456
Movie 01.MOV,0016,1, 15.3860,  7.4141, 38.4879, 58.8715, 52.7228, 65.7668, 22.5275, 50.6835, 62.5562, 33.2257, 29.9595, 15.9729, 56.8534, 52.2711, 22.9764, 51.4059, 38.9975, 45.2325, 41.5159, 32.4782, 33.3144, 35.2847, 58.8835, 36.2932
Movie 01.MOV,0017,1, 15.3066,  7.5643, 38.6423, 58.7017, 52.9128, 65.5723, 22.3965, 51.0107, 62.2393, 33.2333, 29.7749, 16.0158, 56.7769, 52.2631, 23.2253, 51.8243, 38.5975, 44.8049, 41.7786, 32.8406, 33.5083, 35.0893, 59.2307, 36.4733
