movie,section,PEDOT ratio,mode,voltage,L_i,L_f,k,skip
1,0,80,ox,0.8,36.21431274,38.58090838,0.253906697,1
1,1,80,ox,0.8,10.86501864,38.90784241,0.295405272,1
1,2,80,ox,0.8,14.49580274,38.55068096,0.25797186,1
2,0,80,ox,0,17.60044839,21.932623,0.04076627,
2,1,80,ox,0.2,15.13618483,29.36578015,0.059576853,
2,2,80,ox,0.6,12.35168159,36.07636738,0.153983445,
2,3,80,ox,0.8,12.88731264,37.02427862,0.233115403,
3,0,80,red,0.4,37.35907802,34.25227051,0.09491631,
3,1,80,red,0.2,37.99471097,30.11312747,0.068462644,
3,2,80,red,-0.2,38.99287675,17.91591144,0.040350526,
3,3,80,red,-0.5,39.36917581,16.48426473,0.041205664,
4,0,30,ox,0.8,43.65334433,44.35536794,1.216865394,1
4,1,30,ox,0.8,-11.90180375,44.07169042,0.805540441,1
4,2,30,ox,0.8,-12.19869871,44.09601102,0.810696465,1
5,0,30,ox,0,18.65353613,23.86185503,0.039047367,
5,1,30,ox,0.2,-0.752549788,33.83203418,0.073379345,
5,2,30,ox,0.4,-21.17996226,41.40296538,0.212727363,
5,3,30,ox,0.6,-21.23736475,44.23237298,0.474064812,
5,4,30,ox,0.8,-80.75772117,45.13932279,0.968990763,
6,0,30,red,0.4,58.40334531,55.03347621,0.286794473,
6,1,30,red,0.2,60.02260803,49.36752275,0.217549582,
6,2,30,red,0,53.72400178,36.13828261,0.147842934,
6,3,30,red,-0.2,52.17088744,30.67993026,0.139550917,
6,4,30,red,-0.5,49.70938509,28.36858908,0.144285359,
7,0,30,ox,0.8,49.33025436,49.52138803,0.295697574,1
7,1,30,ox,0.8,0.673357932,49.31042959,0.553734894,1
7,2,30,ox,0.8,1.189212822,49.27275327,0.534166203,1
8,0,60,ox,0.8,37.59804449,41.39745679,0.290515446,1
8,1,60,ox,0.8,19.43378249,41.96306954,0.311310336,1
8,2,60,ox,0.8,19.22782715,41.45136078,0.299930855,1
9,0,60,ox,0,32.27350719,35.65604887,0.046213015,
9,1,60,ox,0.2,28.53865754,42.28083255,0.053475943,
9,2,60,ox,0.4,28.5823385,46.28909458,0.09644657,
