June 20, 2016   17:21:11
Cyclic Voltammetry
File: c:\users\potentio2\desktop\suda\20160620\1000 rpm cv.txt
Data Source:  Experiment
Instrument Model:  CHI7082E
Header: 
Note: 

Init E (V) = 0
High E (V) = 0.9
Low E (V) = -0.6
Init P/N = P
Scan Rate (V/s) = 0.01
Segment = 6
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Sens 2 (A/V) = 1e-6

Segment 1:

Segment 2:

Segment 3:
Ep = 0.127V
ip = 6.858e-6A
Ah = 6.810e-5C

Segment 4:

Segment 5:
Ep = 0.127V
ip = 4.556e-6A
Ah = 4.718e-5C

Segment 6:

Current 2:

Segment 1:

Segment 2:
Ep = 0.014V
ip = -3.683e-11A
Ah = -1.393e-10C

Segment 3:
Segment 4:
Ep = -0.039V
ip = -2.221e-11A
Ah = -4.340e-11C

Segment 5:
Segment 6:

Potential/V	i1/A	i2/A

0.000	2.215e-5	-7.501e-9
0.001	2.475e-5	-7.506e-9
0.002	2.605e-5	-7.511e-9
0.003	2.688e-5	-7.521e-9
0.004	2.749e-5	-7.522e-9
0.005	2.784e-5	-7.531e-9
0.006	2.815e-5	-7.534e-9
0.007	2.841e-5	-7.536e-9
0.008	2.859e-5	-7.534e-9
0.009	2.877e-5	-7.534e-9
0.010	2.890e-5	-7.535e-9
0.011	2.902e-5	-7.530e-9
0.012	2.914e-5	-7.544e-9
0.013	2.922e-5	-7.545e-9
0.014	2.934e-5	-7.539e-9
0.015	2.945e-5	-7.547e-9
0.016	2.948e-5	-7.551e-9
0.017	2.959e-5	-7.558e-9
0.018	2.968e-5	-7.557e-9
0.019	2.972e-5	-7.545e-9
0.020	2.982e-5	-7.559e-9
0.021	2.988e-5	-7.565e-9
0.022	2.992e-5	-7.566e-9
0.023	3.002e-5	-7.560e-9
0.024	3.004e-5	-7.567e-9
0.025	3.012e-5	-7.557e-9
0.026	3.018e-5	-7.559e-9
0.027	3.025e-5	-7.567e-9
0.028	3.034e-5	-7.573e-9
0.029	3.038e-5	-7.568e-9
0.030	3.043e-5	-7.559e-9
0.031	3.051e-5	-7.573e-9
0.032	3.055e-5	-7.556e-9
0.033	3.064e-5	-7.560e-9
0.034	3.072e-5	-7.558e-9
0.035	3.075e-5	-7.563e-9
