June 20, 2016   18:11:19
Cyclic Voltammetry
File: c:\users\potentio2\desktop\suda\20160620\2000 rpm cv2.txt
Data Source:  Experiment
Instrument Model:  CHI7082E
Header: 
Note: 

Init E (V) = 0
High E (V) = 0.9
Low E (V) = -0.6
Init P/N = P
Scan Rate (V/s) = 0.01
Segment = 6
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Sens 2 (A/V) = 0.001

Segment 1:

Segment 2:

Segment 3:
Ep = 0.151V
ip = 1.267e-5A
Ah = 1.260e-4C

Segment 4:

Segment 5:
Ep = 0.159V
ip = 1.185e-5A
Ah = 1.176e-4C

Segment 6:

Current 2:

Segment 1:

Segment 2:

Segment 3:

Segment 4:
Ep = -0.037V
ip = -2.681e-8A
Ah = -1.156e-7C

Ep = -0.281V
ip = -1.960e-8A
Ah = -7.120e-8C

Segment 5:
Segment 6:

Potential/V	i1/A	i2/A

0.000	-1.603e-5	-7.594e-6
0.001	-1.200e-5	-7.603e-6
0.002	-9.230e-6	-7.574e-6
0.003	-6.965e-6	-7.515e-6
0.004	-4.914e-6	-7.512e-6
0.005	-3.172e-6	-7.506e-6
0.006	-1.573e-6	-7.517e-6
0.007	-1.061e-7	-7.529e-6
0.008	1.189e-6	-7.523e-6
0.009	2.368e-6	-7.518e-6
0.010	3.457e-6	-7.524e-6
0.011	4.466e-6	-7.525e-6
0.012	5.411e-6	-7.537e-6
0.013	6.250e-6	-7.528e-6
0.014	7.077e-6	-7.536e-6
0.015	7.856e-6	-7.535e-6
0.016	8.502e-6	-7.544e-6
0.017	9.178e-6	-7.521e-6
0.018	9.799e-6	-7.544e-6
0.019	1.035e-5	-7.546e-6
0.020	1.093e-5	-7.542e-6
0.021	1.141e-5	-7.529e-6
0.022	1.192e-5	-7.525e-6
0.023	1.240e-5	-7.534e-6
0.024	1.282e-5	-7.534e-6
0.025	1.327e-5	-7.533e-6
0.026	1.364e-5	-7.542e-6
0.027	1.400e-5	-7.548e-6
0.028	1.437e-5	-7.545e-6
0.029	1.469e-5	-7.546e-6
0.030	1.500e-5	-7.554e-6
0.031	1.530e-5	-7.546e-6
0.032	1.554e-5	-7.546e-6
0.033	1.584e-5	-7.542e-6
0.034	1.610e-5	-7.545e-6
0.035	1.635e-5	-7.540e-6
0.036	1.661e-5	-7.543e-6
0.037	1.682e-5	-7.540e-6
0.038	1.705e-5	-7.548e-6
0.039	1.729e-5	-7.557e-6
0.040	1.748e-5	-7.555e-6
0.041	1.771e-5	-7.555e-6
0.042	1.791e-5	-7.555e-6
0.043	1.808e-5	-7.545e-6
0.044	1.829e-5	-7.553e-6
0.045	1.844e-5	-7.562e-6
0.046	1.861e-5	-7.555e-6
0.047	1.879e-5	-7.556e-6
0.048	1.890e-5	-7.563e-6
0.049	1.907e-5	-7.556e-6
0.050	1.921e-5	-7.551e-6
0.051	1.935e-5	-7.560e-6
0.052	1.949e-5	-7.558e-6
0.053	1.960e-5	-7.571e-6
0.054	1.972e-5	-7.548e-6
0.055	1.985e-5	-7.561e-6
0.056	1.991e-5	-7.568e-6
0.057	2.004e-5	-7.563e-6
0.058	2.011e-5	-7.575e-6
0.059	2.020e-5	-7.571e-6
0.060	2.032e-5	-7.564e-6
0.061	2.035e-5	-7.575e-6
0.062	2.045e-5	-7.571e-6
0.063	2.056e-5	-7.557e-6
0.064	2.061e-5	-7.565e-6
0.065	2.071e-5	-7.565e-6
0.066	2.079e-5	-7.563e-6
0.067	2.086e-5	-7.559e-6
0.068	2.095e-5	-7.549e-6
0.069	2.097e-5	-7.567e-6
0.070	2.101e-5	-7.565e-6
0.071	2.107e-5	-7.556e-6
0.072	2.109e-5	-7.565e-6
0.073	2.116e-5	-7.555e-6
0.074	2.122e-5	-7.565e-6
0.075	2.127e-5	-7.559e-6
0.076	2.136e-5	-7.565e-6
0.077	2.135e-5	-7.569e-6
0.078	2.140e-5	-7.562e-6
0.079	2.146e-5	-7.567e-6
0.080	2.147e-5	-7.560e-6
0.081	2.153e-5	-7.566e-6
0.082	2.158e-5	-7.576e-6
0.083	2.163e-5	-7.569e-6
0.084	2.170e-5	-7.576e-6
0.085	2.173e-5	-7.565e-6
0.086	2.178e-5	-7.563e-6
0.087	2.184e-5	-7.580e-6
0.088	2.183e-5	-7.577e-6
0.089	2.188e-5	-7.570e-6
0.090	2.189e-5	-7.570e-6
0.091	2.190e-5	-7.568e-6
0.092	2.196e-5	-7.579e-6
0.093	2.196e-5	-7.573e-6
0.094	2.199e-5	-7.568e-6
0.095	2.205e-5	-7.576e-6
0.096	2.205e-5	-7.577e-6
0.097	2.209e-5	-7.573e-6
0.098	2.213e-5	-7.577e-6
0.099	2.215e-5	-7.575e-6
0.100	2.220e-5	-7.581e-6
0.101	2.221e-5	-7.574e-6
0.102	2.227e-5	-7.583e-6
0.103	2.232e-5	-7.572e-6
0.104	2.232e-5	-7.578e-6
0.105	2.236e-5	-7.568e-6
0.106	2.239e-5	-7.577e-6
0.107	2.239e-5	-7.578e-6
0.108	2.244e-5	-7.578e-6
0.109	2.244e-5	-7.584e-6
0.110	2.248e-5	-7.577e-6
0.111	2.252e-5	-7.577e-6
0.112	2.252e-5	-7.576e-6
0.113	2.257e-5	-7.581e-6
0.114	2.258e-5	-7.580e-6
0.115	2.259e-5	-7.574e-6
0.116	2.263e-5	-7.576e-6
0.117	2.261e-5	-7.566e-6
0.118	2.261e-5	-7.576e-6
0.119	2.265e-5	-7.572e-6
0.120	2.262e-5	-7.579e-6
0.121	2.267e-5	-7.577e-6
0.122	2.268e-5	-7.582e-6
0.123	2.269e-5	-7.581e-6
0.124	2.272e-5	-7.575e-6
0.125	2.271e-5	-7.576e-6
0.126	2.272e-5	-7.585e-6
0.127	2.275e-5	-7.584e-6
0.128	2.270e-5	-7.582e-6
0.129	2.273e-5	-7.579e-6
0.130	2.274e-5	-7.588e-6
0.131	2.273e-5	-7.586e-6
0.132	2.275e-5	-7.579e-6
0.133	2.273e-5	-7.583e-6
0.134	2.275e-5	-7.583e-6
0.135	2.277e-5	-7.583e-6
0.136	2.275e-5	-7.588e-6
0.137	2.279e-5	-7.589e-6
0.138	2.281e-5	-7.583e-6
0.139	2.281e-5	-7.576e-6
0.140	2.286e-5	-7.582e-6
0.141	2.283e-5	-7.582e-6
0.142	2.285e-5	-7.581e-6
0.143	2.289e-5	-7.579e-6
0.144	2.288e-5	-7.592e-6
0.145	2.291e-5	-7.587e-6
0.146	2.293e-5	-7.589e-6
0.147	2.293e-5	-7.594e-6
0.148	2.298e-5	-7.599e-6
0.149	2.297e-5	-7.594e-6
0.150	2.297e-5	-7.589e-6
0.151	2.299e-5	-7.590e-6
0.152	2.295e-5	-7.594e-6
0.153	2.299e-5	-7.597e-6
0.154	2.299e-5	-7.600e-6
0.155	2.298e-5	-7.591e-6
0.156	2.301e-5	-7.587e-6
0.157	2.298e-5	-7.590e-6
0.158	2.301e-5	-7.588e-6
0.159	2.305e-5	-7.590e-6
0.160	2.302e-5	-7.592e-6
0.161	2.305e-5	-7.591e-6
0.162	2.304e-5	-7.600e-6
0.163	2.303e-5	-7.599e-6
0.164	2.305e-5	-7.595e-6
0.165	2.302e-5	-7.598e-6
0.166	2.305e-5	-7.593e-6
0.167	2.308e-5	-7.594e-6
0.168	2.308e-5	-7.590e-6
0.169	2.312e-5	-7.610e-6
0.170	2.312e-5	-7.598e-6
0.171	2.312e-5	-7.593e-6
0.172	2.315e-5	-7.589e-6
0.173	2.310e-5	-7.593e-6
0.174	2.312e-5	-7.595e-6
0.175	2.313e-5	-7.589e-6
0.176	2.309e-5	-7.590e-6
0.177	2.312e-5	-7.588e-6
0.178	2.314e-5	-7.600e-6
0.179	2.312e-5	-7.602e-6
0.180	2.313e-5	-7.602e-6
0.181	2.311e-5	-7.595e-6
0.182	2.312e-5	-7.601e-6
0.183	2.315e-5	-7.592e-6
0.184	2.315e-5	-7.608e-6
0.185	2.318e-5	-7.589e-6
0.186	2.320e-5	-7.599e-6
0.187	2.321e-5	-7.601e-6
0.188	2.325e-5	-7.598e-6
0.189	2.321e-5	-7.602e-6
0.190	2.323e-5	-7.600e-6
0.191	2.326e-5	-7.598e-6
0.192	2.324e-5	-7.601e-6
0.193	2.327e-5	-7.608e-6
0.194	2.327e-5	-7.607e-6
0.195	2.325e-5	-7.602e-6
0.196	2.325e-5	-7.609e-6
0.197	2.319e-5	-7.598e-6
0.198	2.316e-5	-7.606e-6
0.199	2.313e-5	-7.602e-6
0.200	2.309e-5	-7.601e-6
0.201	2.310e-5	-7.606e-6
0.202	2.311e-5	-7.606e-6
0.203	2.313e-5	-7.604e-6
0.204	2.320e-5	-7.600e-6
0.205	2.328e-5	-7.602e-6
0.206	2.329e-5	-7.593e-6
0.207	2.334e-5	-7.599e-6
0.208	2.328e-5	-7.601e-6
0.209	2.330e-5	-7.605e-6
0.210	2.327e-5	-7.598e-6
0.211	2.324e-5	-7.602e-6
0.212	2.325e-5	-7.602e-6
0.213	2.320e-5	-7.602e-6
0.214	2.320e-5	-7.603e-6
0.215	2.322e-5	-7.609e-6
0.216	2.320e-5	-7.599e-6
0.217	2.325e-5	-7.603e-6
0.218	2.324e-5	-7.602e-6
0.219	2.325e-5	-7.611e-6
0.220	2.330e-5	-7.600e-6
0.221	2.328e-5	-7.607e-6
0.222	2.332e-5	-7.613e-6
0.223	2.336e-5	-7.596e-6
0.224	2.333e-5	-7.601e-6
0.225	2.334e-5	-7.606e-6
0.226	2.333e-5	-7.603e-6
0.227	2.330e-5	-7.609e-6
0.228	2.334e-5	-7.601e-6
0.229	2.332e-5	-7.607e-6
0.230	2.332e-5	-7.606e-6
0.231	2.334e-5	-7.616e-6
0.232	2.333e-5	-7.607e-6
0.233	2.336e-5	-7.609e-6
0.234	2.334e-5	-7.610e-6
0.235	2.334e-5	-7.610e-6
0.236	2.336e-5	-7.605e-6
0.237	2.332e-5	-7.605e-6
0.238	2.333e-5	-7.613e-6
0.239	2.335e-5	-7.613e-6
0.240	2.330e-5	-7.602e-6
0.241	2.333e-5	-7.606e-6
0.242	2.332e-5	-7.608e-6
0.243	2.330e-5	-7.610e-6
0.244	2.333e-5	-7.603e-6
0.245	2.331e-5	-7.607e-6
0.246	2.332e-5	-7.601e-6
0.247	2.334e-5	-7.605e-6
0.248	2.332e-5	-7.613e-6
0.249	2.334e-5	-7.606e-6
0.250	2.333e-5	-7.603e-6
0.251	2.332e-5	-7.607e-6
0.252	2.334e-5	-7.607e-6
0.253	2.330e-5	-7.605e-6
0.254	2.333e-5	-7.611e-6
0.255	2.336e-5	-7.605e-6
0.256	2.337e-5	-7.612e-6
0.257	2.338e-5	-7.609e-6
0.258	2.338e-5	-7.609e-6
0.259	2.337e-5	-7.609e-6
0.260	2.341e-5	-7.609e-6
0.261	2.340e-5	-7.611e-6
0.262	2.340e-5	-7.604e-6
0.263	2.342e-5	-7.618e-6
0.264	2.340e-5	-7.606e-6
0.265	2.343e-5	-7.610e-6
0.266	2.342e-5	-7.614e-6
0.267	2.343e-5	-7.611e-6
0.268	2.344e-5	-7.605e-6
0.269	2.340e-5	-7.613e-6
0.270	2.342e-5	-7.607e-6
0.271	2.343e-5	-7.606e-6
0.272	2.339e-5	-7.607e-6
0.273	2.342e-5	-7.603e-6
0.274	2.342e-5	-7.615e-6
0.275	2.342e-5	-7.611e-6
0.276	2.345e-5	-7.608e-6
0.277	2.339e-5	-7.610e-6
0.278	2.338e-5	-7.624e-6
0.279	2.339e-5	-7.615e-6
0.280	2.336e-5	-7.613e-6
0.281	2.339e-5	-7.610e-6
0.282	2.337e-5	-7.611e-6
