June 20, 2016   16:54:22
Cyclic Voltammetry
File: c:\users\potentio2\desktop\suda\20160620\750 rpm cv.txt
Data Source:  Experiment
Instrument Model:  CHI7082E
Header: 
Note: 

Init E (V) = 0
High E (V) = 0.9
Low E (V) = -0.6
Init P/N = P
Scan Rate (V/s) = 0.01
Segment = 6
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Sens 2 (A/V) = 1e-6

Segment 1:

Segment 2:

Segment 3:
Ep = 0.151V
ip = 1.112e-5A
Ah = 1.080e-4C

Segment 4:

Segment 5:
Ep = 0.153V
ip = 1.094e-5A
Ah = 1.109e-4C

Segment 6:

Current 2:

Segment 1:

Segment 2:

Segment 3:
Segment 4:
Ep = -0.245V
ip = -1.708e-11A
Ah = -1.633e-11C

Segment 5:
Segment 6:

Potential/V	i1/A	i2/A

0.000	-3.491e-5	-7.631e-9
0.001	-2.803e-5	-7.635e-9
0.002	-2.335e-5	-7.621e-9
0.003	-1.958e-5	-7.642e-9
0.004	-1.642e-5	-7.633e-9
0.005	-1.369e-5	-7.636e-9
0.006	-1.127e-5	-7.647e-9
0.007	-9.090e-6	-7.609e-9
0.008	-7.174e-6	-7.553e-9
0.009	-5.355e-6	-7.556e-9
0.010	-3.722e-6	-7.555e-9
0.011	-2.232e-6	-7.564e-9
0.012	-8.166e-7	-7.559e-9
0.013	4.185e-7	-7.562e-9
0.014	1.625e-6	-7.552e-9
0.015	2.734e-6	-7.563e-9
0.016	3.733e-6	-7.560e-9
0.017	4.759e-6	-7.563e-9
0.018	5.668e-6	-7.567e-9
0.019	6.511e-6	-7.567e-9
0.020	7.359e-6	-7.564e-9
0.021	8.087e-6	-7.570e-9
0.022	8.802e-6	-7.580e-9
0.023	9.527e-6	-7.584e-9
0.024	1.014e-5	-7.572e-9
0.025	1.079e-5	-7.566e-9
0.026	1.134e-5	-7.565e-9
0.027	1.190e-5	-7.560e-9
0.028	1.247e-5	-7.553e-9
0.029	1.293e-5	-7.558e-9
0.030	1.344e-5	-7.552e-9
0.031	1.392e-5	-7.557e-9
0.032	1.429e-5	-7.566e-9
0.033	1.474e-5	-7.571e-9
0.034	1.513e-5	-7.571e-9
0.035	1.549e-5	-7.565e-9
0.036	1.590e-5	-7.565e-9
0.037	1.623e-5	-7.567e-9
0.038	1.660e-5	-7.561e-9
0.039	1.695e-5	-7.564e-9
0.040	1.724e-5	-7.564e-9
0.041	1.757e-5	-7.569e-9
0.042	1.787e-5	-7.568e-9
0.043	1.815e-5	-7.573e-9
0.044	1.846e-5	-7.581e-9
0.045	1.868e-5	-7.573e-9
0.046	1.894e-5	-7.581e-9
0.047	1.922e-5	-7.573e-9
0.048	1.940e-5	-7.578e-9
0.049	1.967e-5	-7.580e-9
