June 22, 2016   17:13:43
Cyclic Voltammetry
File: c:\users\potentio2\desktop\suda\20160622\1000 rpm cv.txt
Data Source:  Experiment
Instrument Model:  CHI7082E
Header: 
Note: 

Init E (V) = 0
High E (V) = 0.9
Low E (V) = -0.6
Init P/N = P
Scan Rate (V/s) = 0.01
Segment = 6
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Sens 2 (A/V) = 0.001

Segment 1:

Segment 2:

Segment 3:
Ep = 0.284V
ip = 5.639e-6A
Ah = 3.400e-5C

Segment 4:

Segment 5:
Ep = 0.127V
ip = 4.396e-6A
Ah = 3.704e-5C

Segment 6:

Current 2:

Segment 1:

Segment 2:
Ep = 0.554V
ip = -2.245e-8A
Ah = -9.394e-8C

Ep = 0.367V
ip = -2.802e-8A
Ah = -3.973e-8C

Segment 3:
Segment 4:

Segment 5:
Segment 6:
Ep = 0.311V
ip = -2.023e-8A
Ah = -2.360e-8C

Ep = -0.076V
ip = -4.130e-8A
Ah = -1.619e-7C

Potential/V	i1/A	i2/A

0.000	-4.818e-5	-7.578e-6
0.001	-4.121e-5	-7.575e-6
0.002	-3.580e-5	-7.582e-6
0.003	-3.126e-5	-7.606e-6
0.004	-2.728e-5	-7.586e-6
0.005	-2.385e-5	-7.587e-6
0.006	-2.074e-5	-7.596e-6
0.007	-1.790e-5	-7.592e-6
0.008	-1.537e-5	-7.594e-6
0.009	-1.304e-5	-7.607e-6
0.010	-1.093e-5	-7.612e-6
0.011	-8.983e-6	-7.572e-6
0.012	-7.185e-6	-7.513e-6
0.013	-5.534e-6	-7.525e-6
0.014	-3.962e-6	-7.532e-6
0.015	-2.513e-6	-7.522e-6
0.016	-1.210e-6	-7.534e-6
0.017	6.121e-8	-7.536e-6
0.018	1.254e-6	-7.536e-6
0.019	2.307e-6	-7.518e-6
0.020	3.346e-6	-7.533e-6
0.021	4.300e-6	-7.543e-6
0.022	5.199e-6	-7.550e-6
0.023	6.055e-6	-7.536e-6
0.024	6.835e-6	-7.543e-6
0.025	7.615e-6	-7.542e-6
0.026	8.300e-6	-7.550e-6
0.027	8.991e-6	-7.551e-6
0.028	9.673e-6	-7.551e-6
0.029	1.027e-5	-7.566e-6
0.030	1.087e-5	-7.545e-6
0.031	1.143e-5	-7.538e-6
0.032	1.195e-5	-7.541e-6
0.033	1.248e-5	-7.541e-6
0.034	1.298e-5	-7.536e-6
0.035	1.343e-5	-7.557e-6
0.036	1.389e-5	-7.554e-6
0.037	1.428e-5	-7.548e-6
0.038	1.471e-5	-7.561e-6
0.039	1.510e-5	-7.560e-6
0.040	1.545e-5	-7.550e-6
0.041	1.583e-5	-7.548e-6
0.042	1.620e-5	-7.550e-6
0.043	1.654e-5	-7.549e-6
0.044	1.689e-5	-7.548e-6
0.045	1.717e-5	-7.554e-6
0.046	1.747e-5	-7.550e-6
0.047	1.777e-5	-7.557e-6
0.048	1.799e-5	-7.563e-6
0.049	1.829e-5	-7.560e-6
0.050	1.856e-5	-7.568e-6
0.051	1.883e-5	-7.566e-6
0.052	1.910e-5	-7.565e-6
0.053	1.931e-5	-7.550e-6
0.054	1.954e-5	-7.551e-6
0.055	1.979e-5	-7.565e-6
0.056	1.999e-5	-7.561e-6
0.057	2.023e-5	-7.556e-6
0.058	2.044e-5	-7.565e-6
0.059	2.064e-5	-7.560e-6
0.060	2.085e-5	-7.556e-6
0.061	2.100e-5	-7.567e-6
0.062	2.120e-5	-7.551e-6
0.063	2.139e-5	-7.543e-6
0.064	2.154e-5	-7.566e-6
0.065	2.173e-5	-7.555e-6
0.066	2.190e-5	-7.559e-6
0.067	2.205e-5	-7.565e-6
0.068	2.222e-5	-7.562e-6
0.069	2.235e-5	-7.565e-6
0.070	2.250e-5	-7.569e-6
0.071	2.267e-5	-7.561e-6
0.072	2.278e-5	-7.578e-6
0.073	2.294e-5	-7.566e-6
0.074	2.308e-5	-7.567e-6
0.075	2.321e-5	-7.564e-6
0.076	2.337e-5	-7.577e-6
0.077	2.345e-5	-7.565e-6
0.078	2.358e-5	-7.565e-6
0.079	2.372e-5	-7.564e-6
0.080	2.381e-5	-7.583e-6
0.081	2.394e-5	-7.578e-6
0.082	2.405e-5	-7.576e-6
0.083	2.414e-5	-7.580e-6
0.084	2.426e-5	-7.584e-6
0.085	2.433e-5	-7.573e-6
0.086	2.444e-5	-7.574e-6
0.087	2.455e-5	-7.572e-6
0.088	2.460e-5	-7.574e-6
0.089	2.471e-5	-7.578e-6
