June 22, 2016   17:42:48
Cyclic Voltammetry
File: c:\users\potentio2\desktop\suda\20160622\2000 rpm cv.txt
Data Source:  Experiment
Instrument Model:  CHI7082E
Header: 
Note: 

Init E (V) = 0
High E (V) = 0.9
Low E (V) = -0.6
Init P/N = P
Scan Rate (V/s) = 0.01
Segment = 6
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Sens 2 (A/V) = 0.001

Segment 1:

Segment 2:

Segment 3:
Ep = 0.175V
ip = 1.464e-5A
Ah = 1.223e-4C

Segment 4:
Ep = 0.000V
ip = -8.158e-7A
Ah = -9.230e-6C

Segment 5:
Ep = 0.183V
ip = 1.432e-5A
Ah = 1.117e-4C

Segment 6:

Current 2:

Segment 1:

Segment 2:
Ep = 0.087V
ip = -1.915e-8A
Ah = -2.458e-8C

Segment 3:
Segment 4:
Ep = -0.073V
ip = -2.929e-8A
Ah = -9.015e-8C

Segment 5:
Segment 6:
Ep = -0.454V
ip = -3.884e-8A
Ah = -3.215e-8C

Potential/V	i1/A	i2/A

0.000	-1.024e-5	-7.581e-6
0.001	-5.667e-6	-7.514e-6
0.002	-3.044e-6	-7.513e-6
0.003	-1.130e-6	-7.525e-6
0.004	5.129e-7	-7.523e-6
0.005	1.878e-6	-7.525e-6
0.006	3.118e-6	-7.527e-6
0.007	4.274e-6	-7.526e-6
0.008	5.259e-6	-7.531e-6
0.009	6.236e-6	-7.522e-6
0.010	7.096e-6	-7.520e-6
0.011	7.892e-6	-7.542e-6
0.012	8.682e-6	-7.533e-6
0.013	9.360e-6	-7.540e-6
0.014	1.002e-5	-7.539e-6
0.015	1.068e-5	-7.532e-6
0.016	1.119e-5	-7.526e-6
0.017	1.177e-5	-7.529e-6
0.018	1.229e-5	-7.529e-6
0.019	1.276e-5	-7.523e-6
0.020	1.325e-5	-7.533e-6
0.021	1.365e-5	-7.537e-6
0.022	1.403e-5	-7.533e-6
0.023	1.442e-5	-7.534e-6
0.024	1.473e-5	-7.539e-6
0.025	1.507e-5	-7.541e-6
0.026	1.536e-5	-7.542e-6
0.027	1.565e-5	-7.544e-6
0.028	1.597e-5	-7.542e-6
0.029	1.620e-5	-7.546e-6
0.030	1.649e-5	-7.541e-6
0.031	1.675e-5	-7.539e-6
0.032	1.695e-5	-7.546e-6
0.033	1.720e-5	-7.546e-6
0.034	1.742e-5	-7.546e-6
0.035	1.761e-5	-7.552e-6
0.036	1.785e-5	-7.556e-6
0.037	1.800e-5	-7.555e-6
0.038	1.820e-5	-7.552e-6
0.039	1.840e-5	-7.559e-6
0.040	1.854e-5	-7.553e-6
0.041	1.873e-5	-7.557e-6
0.042	1.889e-5	-7.556e-6
0.043	1.902e-5	-7.564e-6
0.044	1.921e-5	-7.558e-6
0.045	1.930e-5	-7.559e-6
0.046	1.944e-5	-7.558e-6
0.047	1.960e-5	-7.554e-6
0.048	1.967e-5	-7.552e-6
0.049	1.982e-5	-7.566e-6
0.050	1.995e-5	-7.554e-6
0.051	2.006e-5	-7.558e-6
0.052	2.018e-5	-7.565e-6
0.053	2.025e-5	-7.566e-6
0.054	2.034e-5	-7.565e-6
0.055	2.045e-5	-7.570e-6
0.056	2.050e-5	-7.562e-6
0.057	2.061e-5	-7.561e-6
0.058	2.068e-5	-7.554e-6
0.059	2.075e-5	-7.568e-6
0.060	2.086e-5	-7.561e-6
0.061	2.087e-5	-7.557e-6
0.062	2.095e-5	-7.559e-6
0.063	2.104e-5	-7.559e-6
0.064	2.106e-5	-7.556e-6
0.065	2.114e-5	-7.563e-6
0.066	2.120e-5	-7.562e-6
0.067	2.123e-5	-7.564e-6
0.068	2.131e-5	-7.559e-6
0.069	2.133e-5	-7.562e-6
0.070	2.137e-5	-7.562e-6
0.071	2.145e-5	-7.555e-6
0.072	2.146e-5	-7.558e-6
0.073	2.152e-5	-7.557e-6
0.074	2.157e-5	-7.556e-6
0.075	2.160e-5	-7.562e-6
0.076	2.168e-5	-7.562e-6
0.077	2.165e-5	-7.563e-6
0.078	2.171e-5	-7.567e-6
0.079	2.177e-5	-7.565e-6
0.080	2.175e-5	-7.566e-6
0.081	2.181e-5	-7.566e-6
0.082	2.183e-5	-7.564e-6
0.083	2.185e-5	-7.561e-6
0.084	2.190e-5	-7.569e-6
0.085	2.190e-5	-7.572e-6
0.086	2.193e-5	-7.569e-6
0.087	2.200e-5	-7.571e-6
0.088	2.197e-5	-7.568e-6
0.089	2.203e-5	-7.570e-6
0.090	2.206e-5	-7.578e-6
0.091	2.208e-5	-7.575e-6
0.092	2.214e-5	-7.574e-6
0.093	2.211e-5	-7.575e-6
0.094	2.216e-5	-7.577e-6
0.095	2.221e-5	-7.573e-6
0.096	2.219e-5	-7.577e-6
0.097	2.224e-5	-7.573e-6
0.098	2.226e-5	-7.577e-6
0.099	2.226e-5	-7.572e-6
0.100	2.230e-5	-7.577e-6
0.101	2.227e-5	-7.572e-6
0.102	2.235e-5	-7.566e-6
0.103	2.240e-5	-7.571e-6
0.104	2.238e-5	-7.564e-6
0.105	2.242e-5	-7.572e-6
0.106	2.243e-5	-7.567e-6
0.107	2.244e-5	-7.565e-6
0.108	2.250e-5	-7.571e-6
0.109	2.247e-5	-7.573e-6
0.110	2.248e-5	-7.576e-6
0.111	2.252e-5	-7.571e-6
0.112	2.249e-5	-7.573e-6
0.113	2.253e-5	-7.583e-6
0.114	2.253e-5	-7.591e-6
0.115	2.251e-5	-7.581e-6
0.116	2.255e-5	-7.584e-6
0.117	2.254e-5	-7.580e-6
0.118	2.254e-5	-7.578e-6
0.119	2.258e-5	-7.581e-6
0.120	2.254e-5	-7.575e-6
0.121	2.259e-5	-7.588e-6
0.122	2.260e-5	-7.586e-6
0.123	2.259e-5	-7.590e-6
0.124	2.265e-5	-7.582e-6
0.125	2.260e-5	-7.583e-6
0.126	2.263e-5	-7.583e-6
0.127	2.266e-5	-7.591e-6
0.128	2.260e-5	-7.588e-6
0.129	2.265e-5	-7.592e-6
0.130	2.266e-5	-7.585e-6
0.131	2.266e-5	-7.590e-6
0.132	2.269e-5	-7.587e-6
0.133	2.267e-5	-7.586e-6
0.134	2.268e-5	-7.588e-6
0.135	2.270e-5	-7.586e-6
0.136	2.266e-5	-7.586e-6
0.137	2.270e-5	-7.589e-6
0.138	2.270e-5	-7.589e-6
0.139	2.270e-5	-7.585e-6
0.140	2.274e-5	-7.587e-6
0.141	2.272e-5	-7.594e-6
0.142	2.272e-5	-7.595e-6
0.143	2.275e-5	-7.585e-6
0.144	2.272e-5	-7.590e-6
0.145	2.276e-5	-7.588e-6
0.146	2.277e-5	-7.585e-6
0.147	2.276e-5	-7.592e-6
0.148	2.279e-5	-7.598e-6
0.149	2.277e-5	-7.590e-6
0.150	2.278e-5	-7.593e-6
0.151	2.280e-5	-7.589e-6
0.152	2.277e-5	-7.585e-6
0.153	2.282e-5	-7.589e-6
0.154	2.282e-5	-7.587e-6
0.155	2.281e-5	-7.590e-6
0.156	2.283e-5	-7.588e-6
0.157	2.277e-5	-7.589e-6
0.158	2.277e-5	-7.592e-6
0.159	2.279e-5	-7.587e-6
0.160	2.274e-5	-7.595e-6
0.161	2.275e-5	-7.594e-6
0.162	2.277e-5	-7.595e-6
0.163	2.274e-5	-7.592e-6
0.164	2.277e-5	-7.595e-6
0.165	2.273e-5	-7.594e-6
0.166	2.275e-5	-7.594e-6
