June 22, 2016   14:38:46
Cyclic Voltammetry
File: c:\users\potentio2\desktop\suda\20160622\750 rpm cv.txt
Data Source:  Experiment
Instrument Model:  CHI7082E
Header: 
Note: 

Init E (V) = 0
High E (V) = 0.9
Low E (V) = -0.6
Init P/N = P
Scan Rate (V/s) = 0.01
Segment = 6
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Sens 2 (A/V) = 0.001

Segment 1:

Segment 2:

Segment 3:
Ep = 0.156V
ip = 6.743e-6A
Ah = 7.742e-5C

Segment 4:

Segment 5:
Ep = 0.159V
ip = 7.667e-6A
Ah = 8.570e-5C

Segment 6:

Current 2:

Segment 1:

Segment 2:
Ep = 0.041V
ip = -3.043e-8A
Ah = -1.289e-7C

Segment 3:

Segment 4:

Segment 5:

Segment 6:
Ep = -0.163V
ip = -2.353e-8A
Ah = -6.231e-8C

Potential/V	i1/A	i2/A

0.000	-4.111e-5	-7.582e-6
0.001	-3.309e-5	-7.597e-6
0.002	-2.725e-5	-7.601e-6
0.003	-2.260e-5	-7.602e-6
0.004	-1.856e-5	-7.606e-6
0.005	-1.512e-5	-7.614e-6
0.006	-1.206e-5	-7.614e-6
0.007	-9.331e-6	-7.594e-6
0.008	-6.956e-6	-7.521e-6
0.009	-4.681e-6	-7.533e-6
0.010	-2.700e-6	-7.537e-6
0.011	-8.816e-7	-7.530e-6
0.012	8.269e-7	-7.539e-6
0.013	2.304e-6	-7.541e-6
0.014	3.732e-6	-7.540e-6
0.015	5.082e-6	-7.546e-6
0.016	6.245e-6	-7.544e-6
0.017	7.423e-6	-7.550e-6
0.018	8.476e-6	-7.566e-6
0.019	9.466e-6	-7.556e-6
0.020	1.043e-5	-7.557e-6
0.021	1.125e-5	-7.545e-6
0.022	1.210e-5	-7.546e-6
0.023	1.292e-5	-7.550e-6
0.024	1.361e-5	-7.549e-6
0.025	1.432e-5	-7.557e-6
0.026	1.493e-5	-7.551e-6
0.027	1.552e-5	-7.550e-6
0.028	1.616e-5	-7.552e-6
0.029	1.668e-5	-7.553e-6
0.030	1.722e-5	-7.552e-6
0.031	1.776e-5	-7.559e-6
0.032	1.821e-5	-7.560e-6
0.033	1.872e-5	-7.558e-6
0.034	1.918e-5	-7.561e-6
0.035	1.958e-5	-7.566e-6
0.036	2.003e-5	-7.565e-6
0.037	2.038e-5	-7.566e-6
0.038	2.077e-5	-7.554e-6
0.039	2.114e-5	-7.562e-6
0.040	2.143e-5	-7.559e-6
0.041	2.179e-5	-7.556e-6
0.042	2.210e-5	-7.554e-6
0.043	2.240e-5	-7.567e-6
0.044	2.274e-5	-7.564e-6
0.045	2.297e-5	-7.567e-6
0.046	2.328e-5	-7.570e-6
0.047	2.357e-5	-7.565e-6
0.048	2.377e-5	-7.569e-6
0.049	2.406e-5	-7.579e-6
0.050	2.429e-5	-7.567e-6
0.051	2.454e-5	-7.576e-6
0.052	2.478e-5	-7.576e-6
0.053	2.497e-5	-7.568e-6
0.054	2.517e-5	-7.572e-6
0.055	2.538e-5	-7.570e-6
0.056	2.554e-5	-7.574e-6
0.057	2.576e-5	-7.575e-6
0.058	2.593e-5	-7.578e-6
0.059	2.609e-5	-7.576e-6
0.060	2.630e-5	-7.576e-6
0.061	2.641e-5	-7.580e-6
0.062	2.658e-5	-7.577e-6
0.063	2.675e-5	-7.582e-6
0.064	2.685e-5	-7.578e-6
0.065	2.703e-5	-7.581e-6
0.066	2.716e-5	-7.583e-6
0.067	2.727e-5	-7.577e-6
0.068	2.743e-5	-7.583e-6
0.069	2.751e-5	-7.578e-6
0.070	2.764e-5	-7.580e-6
0.071	2.778e-5	-7.581e-6
0.072	2.787e-5	-7.585e-6
0.073	2.800e-5	-7.584e-6
0.074	2.811e-5	-7.579e-6
0.075	2.821e-5	-7.592e-6
0.076	2.836e-5	-7.588e-6
0.077	2.838e-5	-7.594e-6
0.078	2.850e-5	-7.589e-6
0.079	2.861e-5	-7.594e-6
0.080	2.866e-5	-7.596e-6
0.081	2.878e-5	-7.585e-6
0.082	2.886e-5	-7.584e-6
0.083	2.893e-5	-7.590e-6
0.084	2.906e-5	-7.593e-6
0.085	2.909e-5	-7.584e-6
0.086	2.918e-5	-7.595e-6
0.087	2.928e-5	-7.582e-6
0.088	2.931e-5	-7.596e-6
0.089	2.941e-5	-7.595e-6
0.090	2.947e-5	-7.592e-6
0.091	2.955e-5	-7.592e-6
0.092	2.964e-5	-7.593e-6
0.093	2.964e-5	-7.602e-6
0.094	2.973e-5	-7.605e-6
0.095	2.982e-5	-7.597e-6
0.096	2.983e-5	-7.604e-6
0.097	2.993e-5	-7.596e-6
0.098	2.998e-5	-7.601e-6
0.099	3.001e-5	-7.601e-6
0.100	3.010e-5	-7.602e-6
0.101	3.010e-5	-7.599e-6
0.102	3.019e-5	-7.599e-6
0.103	3.027e-5	-7.571e-6
0.104	3.028e-5	-7.596e-6
0.105	3.034e-5	-7.591e-6
0.106	3.037e-5	-7.587e-6
0.107	3.040e-5	-7.593e-6
0.108	3.048e-5	-7.591e-6
0.109	3.046e-5	-7.597e-6
0.110	3.052e-5	-7.588e-6
0.111	3.058e-5	-7.585e-6
0.112	3.056e-5	-7.586e-6
0.113	3.063e-5	-7.583e-6
0.114	3.066e-5	-7.582e-6
0.115	3.068e-5	-7.585e-6
0.116	3.076e-5	-7.585e-6
0.117	3.075e-5	-7.586e-6
0.118	3.078e-5	-7.589e-6
0.119	3.083e-5	-7.574e-6
0.120	3.081e-5	-7.579e-6
0.121	3.087e-5	-7.578e-6
0.122	3.089e-5	-7.576e-6
0.123	3.091e-5	-7.575e-6
0.124	3.098e-5	-7.569e-6
0.125	3.094e-5	-7.572e-6
0.126	3.099e-5	-7.575e-6
0.127	3.104e-5	-7.568e-6
0.128	3.099e-5	-7.574e-6
0.129	3.105e-5	-7.573e-6
0.130	3.108e-5	-7.578e-6
0.131	3.108e-5	-7.577e-6
0.132	3.114e-5	-7.579e-6
0.133	3.112e-5	-7.580e-6
0.134	3.115e-5	-7.581e-6
0.135	3.119e-5	-7.580e-6
0.136	3.118e-5	-7.570e-6
0.137	3.124e-5	-7.573e-6
0.138	3.125e-5	-7.582e-6
0.139	3.125e-5	-7.575e-6
0.140	3.132e-5	-7.575e-6
0.141	3.129e-5	-7.576e-6
0.142	3.132e-5	-7.578e-6
0.143	3.137e-5	-7.580e-6
0.144	3.133e-5	-7.579e-6
0.145	3.139e-5	-7.576e-6
0.146	3.139e-5	-7.575e-6
0.147	3.140e-5	-7.582e-6
0.148	3.145e-5	-7.581e-6
0.149	3.141e-5	-7.587e-6
0.150	3.143e-5	-7.583e-6
0.151	3.144e-5	-7.571e-6
0.152	3.139e-5	-7.577e-6
0.153	3.146e-5	-7.575e-6
0.154	3.146e-5	-7.583e-6
0.155	3.146e-5	-7.594e-6
0.156	3.150e-5	-7.586e-6
0.157	3.145e-5	-7.583e-6
0.158	3.148e-5	-7.592e-6
0.159	3.151e-5	-7.581e-6
0.160	3.147e-5	-7.581e-6
0.161	3.153e-5	-7.585e-6
0.162	3.155e-5	-7.586e-6
0.163	3.155e-5	-7.583e-6
0.164	3.158e-5	-7.576e-6
0.165	3.155e-5	-7.580e-6
0.166	3.158e-5	-7.588e-6
0.167	3.161e-5	-7.584e-6
0.168	3.157e-5	-7.579e-6
0.169	3.161e-5	-7.583e-6
0.170	3.160e-5	-7.587e-6
0.171	3.159e-5	-7.579e-6
0.172	3.163e-5	-7.585e-6
0.173	3.158e-5	-7.583e-6
0.174	3.161e-5	-7.584e-6
0.175	3.164e-5	-7.593e-6
0.176	3.159e-5	-7.582e-6
0.177	3.164e-5	-7.593e-6
0.178	3.164e-5	-7.586e-6
0.179	3.161e-5	-7.595e-6
0.180	3.165e-5	-7.598e-6
0.181	3.162e-5	-7.589e-6
0.182	3.164e-5	-7.579e-6
0.183	3.166e-5	-7.585e-6
0.184	3.163e-5	-7.595e-6
0.185	3.166e-5	-7.597e-6
0.186	3.166e-5	-7.602e-6
0.187	3.166e-5	-7.590e-6
0.188	3.171e-5	-7.597e-6
0.189	3.164e-5	-7.589e-6
0.190	3.167e-5	-7.590e-6
0.191	3.170e-5	-7.591e-6
0.192	3.167e-5	-7.598e-6
0.193	3.171e-5	-7.603e-6
0.194	3.170e-5	-7.594e-6
0.195	3.170e-5	-7.597e-6
0.196	3.173e-5	-7.596e-6
0.197	3.169e-5	-7.593e-6
0.198	3.171e-5	-7.597e-6
0.199	3.173e-5	-7.589e-6
0.200	3.169e-5	-7.597e-6
0.201	3.172e-5	-7.595e-6
0.202	3.171e-5	-7.593e-6
0.203	3.169e-5	-7.595e-6
0.204	3.175e-5	-7.597e-6
0.205	3.182e-5	-7.596e-6
0.206	3.181e-5	-7.590e-6
0.207	3.182e-5	-7.587e-6
0.208	3.177e-5	-7.591e-6
0.209	3.181e-5	-7.593e-6
0.210	3.179e-5	-7.594e-6
0.211	3.179e-5	-7.595e-6
0.212	3.182e-5	-7.594e-6
0.213	3.177e-5	-7.595e-6
0.214	3.179e-5	-7.596e-6
0.215	3.181e-5	-7.592e-6
0.216	3.176e-5	-7.590e-6
0.217	3.181e-5	-7.595e-6
0.218	3.180e-5	-7.597e-6
0.219	3.180e-5	-7.602e-6
0.220	3.184e-5	-7.591e-6
0.221	3.178e-5	-7.598e-6
0.222	3.182e-5	-7.593e-6
0.223	3.183e-5	-7.599e-6
0.224	3.180e-5	-7.598e-6
0.225	3.185e-5	-7.599e-6
0.226	3.185e-5	-7.600e-6
0.227	3.183e-5	-7.603e-6
0.228	3.185e-5	-7.604e-6
0.229	3.179e-5	-7.595e-6
0.230	3.180e-5	-7.599e-6
0.231	3.180e-5	-7.594e-6
0.232	3.176e-5	-7.602e-6
0.233	3.180e-5	-7.604e-6
0.234	3.178e-5	-7.600e-6
0.235	3.178e-5	-7.597e-6
0.236	3.181e-5	-7.594e-6
0.237	3.176e-5	-7.596e-6
0.238	3.179e-5	-7.601e-6
0.239	3.181e-5	-7.597e-6
0.240	3.174e-5	-7.604e-6
0.241	3.179e-5	-7.600e-6
0.242	3.176e-5	-7.596e-6
0.243	3.175e-5	-7.599e-6
0.244	3.179e-5	-7.601e-6
0.245	3.174e-5	-7.603e-6
0.246	3.176e-5	-7.607e-6
0.247	3.178e-5	-7.604e-6
0.248	3.174e-5	-7.601e-6
0.249	3.179e-5	-7.602e-6
0.250	3.177e-5	-7.601e-6
0.251	3.177e-5	-7.602e-6
0.252	3.180e-5	-7.595e-6
0.253	3.175e-5	-7.602e-6
0.254	3.176e-5	-7.605e-6
0.255	3.178e-5	-7.604e-6
0.256	3.179e-5	-7.600e-6
0.257	3.183e-5	-7.602e-6
0.258	3.184e-5	-7.600e-6
0.259	3.182e-5	-7.598e-6
0.260	3.185e-5	-7.596e-6
0.261	3.181e-5	-7.596e-6
0.262	3.183e-5	-7.594e-6
0.263	3.185e-5	-7.602e-6
0.264	3.180e-5	-7.602e-6
0.265	3.183e-5	-7.602e-6
0.266	3.180e-5	-7.603e-6
0.267	3.181e-5	-7.600e-6
0.268	3.184e-5	-7.604e-6
0.269	3.178e-5	-7.602e-6
0.270	3.180e-5	-7.607e-6
0.271	3.183e-5	-7.590e-6
0.272	3.177e-5	-7.605e-6
0.273	3.180e-5	-7.602e-6
0.274	3.180e-5	-7.596e-6
0.275	3.180e-5	-7.600e-6
0.276	3.184e-5	-7.611e-6
0.277	3.178e-5	-7.602e-6
0.278	3.180e-5	-7.600e-6
0.279	3.181e-5	-7.600e-6
0.280	3.176e-5	-7.599e-6
0.281	3.180e-5	-7.605e-6
0.282	3.175e-5	-7.602e-6
0.283	3.177e-5	-7.605e-6
0.284	3.181e-5	-7.608e-6
0.285	3.174e-5	-7.606e-6
0.286	3.175e-5	-7.601e-6
0.287	3.178e-5	-7.604e-6
0.288	3.174e-5	-7.602e-6
0.289	3.179e-5	-7.595e-6
0.290	3.179e-5	-7.602e-6
0.291	3.176e-5	-7.600e-6
0.292	3.178e-5	-7.600e-6
0.293	3.173e-5	-7.606e-6
0.294	3.175e-5	-7.610e-6
0.295	3.175e-5	-7.604e-6
0.296	3.173e-5	-7.604e-6
0.297	3.175e-5	-7.601e-6
0.298	3.175e-5	-7.600e-6
0.299	3.174e-5	-7.603e-6
0.300	3.179e-5	-7.599e-6
0.301	3.175e-5	-7.603e-6
0.302	3.178e-5	-7.605e-6
0.303	3.182e-5	-7.602e-6
0.304	3.177e-5	-7.610e-6
0.305	3.180e-5	-7.604e-6
0.306	3.179e-5	-7.603e-6
0.307	3.182e-5	-7.604e-6
0.308	3.187e-5	-7.602e-6
0.309	3.181e-5	-7.601e-6
0.310	3.181e-5	-7.607e-6
0.311	3.182e-5	-7.605e-6
0.312	3.178e-5	-7.600e-6
0.313	3.180e-5	-7.604e-6
0.314	3.177e-5	-7.609e-6
0.315	3.177e-5	-7.602e-6
0.316	3.180e-5	-7.603e-6
0.317	3.173e-5	-7.604e-6
0.318	3.174e-5	-7.608e-6
0.319	3.177e-5	-7.604e-6
0.320	3.172e-5	-7.605e-6
0.321	3.177e-5	-7.601e-6
0.322	3.176e-5	-7.607e-6
0.323	3.174e-5	-7.597e-6
0.324	3.179e-5	-7.599e-6
0.325	3.172e-5	-7.594e-6
0.326	3.175e-5	-7.596e-6
0.327	3.177e-5	-7.600e-6
0.328	3.171e-5	-7.607e-6
0.329	3.176e-5	-7.607e-6
0.330	3.174e-5	-7.606e-6
0.331	3.172e-5	-7.600e-6
0.332	3.177e-5	-7.606e-6
0.333	3.167e-5	-7.612e-6
0.334	3.171e-5	-7.602e-6
0.335	3.174e-5	-7.606e-6
0.336	3.167e-5	-7.609e-6
0.337	3.172e-5	-7.611e-6
0.338	3.170e-5	-7.609e-6
0.339	3.168e-5	-7.610e-6
0.340	3.170e-5	-7.605e-6
0.341	3.164e-5	-7.606e-6
0.342	3.166e-5	-7.600e-6
0.343	3.169e-5	-7.601e-6
0.344	3.163e-5	-7.603e-6
0.345	3.168e-5	-7.609e-6
0.346	3.166e-5	-7.607e-6
0.347	3.166e-5	-7.605e-6
0.348	3.170e-5	-7.600e-6
0.349	3.164e-5	-7.604e-6
0.350	3.167e-5	-7.603e-6
0.351	3.169e-5	-7.607e-6
0.352	3.163e-5	-7.603e-6
0.353	3.169e-5	-7.609e-6
0.354	3.170e-5	-7.610e-6
0.355	3.166e-5	-7.611e-6
0.356	3.171e-5	-7.616e-6
0.357	3.166e-5	-7.613e-6
0.358	3.169e-5	-7.608e-6
0.359	3.174e-5	-7.613e-6
0.360	3.168e-5	-7.611e-6
0.361	3.171e-5	-7.607e-6
0.362	3.168e-5	-7.607e-6
0.363	3.168e-5	-7.613e-6
0.364	3.172e-5	-7.606e-6
0.365	3.164e-5	-7.614e-6
0.366	3.168e-5	-7.607e-6
0.367	3.170e-5	-7.606e-6
0.368	3.164e-5	-7.611e-6
0.369	3.169e-5	-7.608e-6
0.370	3.167e-5	-7.613e-6
0.371	3.166e-5	-7.611e-6
0.372	3.170e-5	-7.609e-6
0.373	3.165e-5	-7.608e-6
0.374	3.166e-5	-7.609e-6
0.375	3.167e-5	-7.609e-6
0.376	3.162e-5	-7.616e-6
0.377	3.166e-5	-7.617e-6
0.378	3.165e-5	-7.618e-6
0.379	3.164e-5	-7.611e-6
0.380	3.168e-5	-7.610e-6
0.381	3.159e-5	-7.614e-6
0.382	3.162e-5	-7.605e-6
0.383	3.164e-5	-7.617e-6
0.384	3.157e-5	-7.617e-6
0.385	3.162e-5	-7.612e-6
0.386	3.161e-5	-7.615e-6
0.387	3.159e-5	-7.606e-6
0.388	3.161e-5	-7.612e-6
0.389	3.156e-5	-7.615e-6
0.390	3.159e-5	-7.621e-6
0.391	3.160e-5	-7.616e-6
0.392	3.156e-5	-7.619e-6
0.393	3.160e-5	-7.614e-6
0.394	3.157e-5	-7.615e-6
