June 22, 2016   14:10:00
Cyclic Voltammetry
File: c:\users\potentio2\desktop\suda\20160622\500 rpm cv.txt
Data Source:  Experiment
Instrument Model:  CHI7082E
Header: 
Note: 

Init E (V) = 0
High E (V) = 0.9
Low E (V) = -0.6
Init P/N = P
Scan Rate (V/s) = 0.01
Segment = 6
Sample Interval (V) = 0.001
Quiet Time (sec) = 2
Sensitivity (A/V) = 0.001
Sens 2 (A/V) = 0.001

Segment 1:
Ep = 0.268V
ip = 6.363e-8A
Ah = 1.339e-7C

Segment 2:

Segment 3:
Ep = 0.151V
ip = 1.972e-5A
Ah = 1.375e-4C

Segment 4:

Segment 5:
Ep = 0.159V
ip = 2.328e-5A
Ah = 1.688e-4C

Segment 6:

Current 2:

Segment 1:

Segment 2:
Ep = -0.405V
ip = -4.335e-8A
Ah = -1.163e-7C

Segment 3:
Segment 4:

Segment 5:
Segment 6:

Potential/V	i1/A	i2/A

0.000	-2.727e-5	-7.586e-6
0.001	-2.260e-5	-7.589e-6
0.002	-1.917e-5	-7.602e-6
0.003	-1.624e-5	-7.601e-6
0.004	-1.360e-5	-7.601e-6
0.005	-1.127e-5	-7.604e-6
0.006	-9.145e-6	-7.577e-6
0.007	-7.184e-6	-7.520e-6
0.008	-5.403e-6	-7.530e-6
0.009	-3.711e-6	-7.520e-6
0.010	-2.189e-6	-7.527e-6
0.011	-7.920e-7	-7.527e-6
0.012	5.474e-7	-7.523e-6
0.013	1.742e-6	-7.523e-6
0.014	2.864e-6	-7.531e-6
0.015	3.975e-6	-7.537e-6
0.016	4.957e-6	-7.546e-6
0.017	5.920e-6	-7.535e-6
0.018	6.832e-6	-7.538e-6
0.019	7.652e-6	-7.544e-6
0.020	8.448e-6	-7.553e-6
0.021	9.159e-6	-7.560e-6
0.022	9.861e-6	-7.555e-6
0.023	1.055e-5	-7.551e-6
0.024	1.117e-5	-7.547e-6
0.025	1.179e-5	-7.541e-6
0.026	1.235e-5	-7.542e-6
0.027	1.288e-5	-7.552e-6
0.028	1.341e-5	-7.548e-6
0.029	1.386e-5	-7.540e-6
0.030	1.432e-5	-7.540e-6
0.031	1.479e-5	-7.551e-6
0.032	1.514e-5	-7.546e-6
0.033	1.556e-5	-7.543e-6
0.034	1.597e-5	-7.551e-6
0.035	1.635e-5	-7.547e-6
0.036	1.674e-5	-7.548e-6
0.037	1.704e-5	-7.543e-6
0.038	1.738e-5	-7.554e-6
0.039	1.772e-5	-7.559e-6
0.040	1.800e-5	-7.557e-6
0.041	1.829e-5	-7.554e-6
0.042	1.858e-5	-7.555e-6
0.043	1.880e-5	-7.554e-6
0.044	1.907e-5	-7.557e-6
0.045	1.926e-5	-7.564e-6
0.046	1.949e-5	-7.565e-6
0.047	1.973e-5	-7.565e-6
0.048	1.989e-5	-7.567e-6
0.049	2.012e-5	-7.566e-6
0.050	2.032e-5	-7.566e-6
0.051	2.051e-5	-7.569e-6
0.052	2.070e-5	-7.567e-6
0.053	2.083e-5	-7.561e-6
0.054	2.099e-5	-7.563e-6
0.055	2.116e-5	-7.551e-6
0.056	2.128e-5	-7.558e-6
0.057	2.143e-5	-7.551e-6
0.058	2.157e-5	-7.553e-6
0.059	2.169e-5	-7.554e-6
0.060	2.184e-5	-7.557e-6
0.061	2.192e-5	-7.550e-6
0.062	2.205e-5	-7.557e-6
0.063	2.218e-5	-7.548e-6
0.064	2.225e-5	-7.564e-6
0.065	2.238e-5	-7.561e-6
0.066	2.248e-5	-7.567e-6
0.067	2.256e-5	-7.553e-6
0.068	2.267e-5	-7.562e-6
0.069	2.273e-5	-7.565e-6
0.070	2.282e-5	-7.568e-6
0.071	2.292e-5	-7.562e-6
0.072	2.296e-5	-7.567e-6
0.073	2.305e-5	-7.569e-6
0.074	2.313e-5	-7.572e-6
0.075	2.318e-5	-7.567e-6
0.076	2.328e-5	-7.569e-6
0.077	2.327e-5	-7.573e-6
0.078	2.335e-5	-7.571e-6
0.079	2.343e-5	-7.574e-6
0.080	2.345e-5	-7.574e-6
0.081	2.351e-5	-7.564e-6
0.082	2.358e-5	-7.574e-6
0.083	2.361e-5	-7.566e-6
0.084	2.369e-5	-7.577e-6
0.085	2.370e-5	-7.571e-6
0.086	2.374e-5	-7.566e-6
0.087	2.380e-5	-7.571e-6
0.088	2.380e-5	-7.570e-6
0.089	2.385e-5	-7.571e-6
0.090	2.390e-5	-7.574e-6
0.091	2.393e-5	-7.579e-6
0.092	2.399e-5	-7.573e-6
0.093	2.398e-5	-7.571e-6
0.094	2.402e-5	-7.569e-6
0.095	2.407e-5	-7.576e-6
0.096	2.407e-5	-7.572e-6
0.097	2.412e-5	-7.567e-6
0.098	2.415e-5	-7.573e-6
0.099	2.416e-5	-7.575e-6
0.100	2.419e-5	-7.580e-6
0.101	2.419e-5	-7.571e-6
0.102	2.424e-5	-7.575e-6
0.103	2.430e-5	-7.567e-6
0.104	2.429e-5	-7.573e-6
0.105	2.431e-5	-7.579e-6
0.106	2.434e-5	-7.581e-6
0.107	2.434e-5	-7.578e-6
0.108	2.438e-5	-7.572e-6
0.109	2.437e-5	-7.576e-6
0.110	2.439e-5	-7.575e-6
0.111	2.442e-5	-7.579e-6
0.112	2.439e-5	-7.577e-6
0.113	2.444e-5	-7.581e-6
0.114	2.447e-5	-7.573e-6
0.115	2.446e-5	-7.580e-6
0.116	2.451e-5	-7.581e-6
0.117	2.450e-5	-7.584e-6
0.118	2.450e-5	-7.572e-6
0.119	2.454e-5	-7.579e-6
0.120	2.451e-5	-7.584e-6
0.121	2.454e-5	-7.578e-6
0.122	2.456e-5	-7.580e-6
0.123	2.456e-5	-7.580e-6
0.124	2.460e-5	-7.574e-6
0.125	2.457e-5	-7.581e-6
0.126	2.460e-5	-7.578e-6
0.127	2.465e-5	-7.584e-6
0.128	2.459e-5	-7.578e-6
0.129	2.462e-5	-7.589e-6
0.130	2.463e-5	-7.583e-6
0.131	2.462e-5	-7.582e-6
0.132	2.467e-5	-7.590e-6
0.133	2.465e-5	-7.589e-6
0.134	2.467e-5	-7.588e-6
0.135	2.471e-5	-7.592e-6
0.136	2.469e-5	-7.593e-6
0.137	2.472e-5	-7.598e-6
0.138	2.473e-5	-7.602e-6
0.139	2.472e-5	-7.592e-6
0.140	2.473e-5	-7.597e-6
0.141	2.470e-5	-7.589e-6
0.142	2.471e-5	-7.591e-6
0.143	2.474e-5	-7.585e-6
0.144	2.469e-5	-7.599e-6
0.145	2.471e-5	-7.596e-6
0.146	2.472e-5	-7.598e-6
0.147	2.472e-5	-7.597e-6
0.148	2.475e-5	-7.597e-6
0.149	2.473e-5	-7.594e-6
0.150	2.474e-5	-7.600e-6
0.151	2.477e-5	-7.592e-6
0.152	2.472e-5	-7.594e-6
0.153	2.476e-5	-7.596e-6
0.154	2.478e-5	-7.602e-6
0.155	2.478e-5	-7.602e-6
0.156	2.479e-5	-7.597e-6
0.157	2.474e-5	-7.595e-6
0.158	2.474e-5	-7.601e-6
0.159	2.476e-5	-7.593e-6
0.160	2.472e-5	-7.599e-6
0.161	2.475e-5	-7.600e-6
0.162	2.476e-5	-7.599e-6
0.163	2.474e-5	-7.598e-6
0.164	2.478e-5	-7.602e-6
0.165	2.476e-5	-7.599e-6
0.166	2.477e-5	-7.607e-6
0.167	2.481e-5	-7.602e-6
0.168	2.479e-5	-7.607e-6
0.169	2.482e-5	-7.602e-6
0.170	2.482e-5	-7.599e-6
0.171	2.481e-5	-7.597e-6
0.172	2.483e-5	-7.602e-6
0.173	2.480e-5	-7.599e-6
0.174	2.481e-5	-7.612e-6
0.175	2.483e-5	-7.606e-6
0.176	2.477e-5	-7.607e-6
