movie_name,slice,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24
7916,1, 26.9573, 49.8321, 20.1764, 13.0348, 12.8161, 24.3167, 33.7663, 28.3764, 33.5737,  9.2237, 34.0371, 44.3138, 12.6512, 21.9257, 24.2921, 52.0853, 41.2938, 19.2685, 60.2515, 45.4737, 46.1000, 27.0293,  6.6191,  4.1040
7916,1, 23.7019, 50.3595, 31.6738, 30.1484, 26.0878, 35.8430, 21.5268, 23.2875, 30.2224, 11.1017, 32.5553, 42.6424, 12.2351, 15.1746, 23.4697, 27.1973, 31.7394, 22.7873, 42.7385, 28.7058, 33.0547, 30.7693, 18.4809, 10.6494
7916,1, 24.2725, 52.5184, 32.1258, 26.9895, 27.4071, 42.4533, 25.5064, 36.6011, 43.0158, 18.7792, 43.7751, 55.5733, 13.2008, 35.3945, 32.8422, 60.1705, 50.9932, 30.7890, 63.3194, 60.8831, 65.2885, 46.1558, 16.1048, 11.2986
7917,1, 26.2214, 42.7655, 19.1448, 11.8257, 13.0433, 22.9363, 33.1461, 24.4456, 34.0557,  8.9264, 34.3509, 41.6875, 10.9393, 21.0423, 23.2196, 52.3388, 39.6448, 18.3905, 60.1275, 44.1020, 47.3272, 27.5903,  6.1700,  3.6421
7917,1, 23.4043, 49.6018, 27.7300, 27.0194, 22.5978, 29.6664, 21.5722, 21.2720, 30.3838,  9.8743, 26.8684, 35.2876, 10.1903, 13.8089, 21.1994, 28.9314, 29.7187, 26.9220, 44.6401, 29.4042, 33.7122, 27.0927, 15.9719,  9.9976
7917,1, 24.6562, 50.5454, 28.7954, 26.7253, 25.8619, 41.6745, 27.5586, 32.3386, 43.2012, 17.0633, 43.4993, 51.9937, 11.6249, 32.3599, 30.1023, 61.7664, 46.3966, 27.2050, 53.9354, 55.5524, 51.3492, 41.5637, 14.2869, 10.5478
7918,1, 28.2287, 44.6518, 21.1824, 12.4217, 14.1128, 22.3478, 30.1315, 25.5211, 29.5877,  8.7242, 31.4500, 43.4611, 11.6797, 20.5348, 21.0952, 48.3076, 37.9181, 19.3909, 59.9174, 39.5376, 45.7198, 25.5944,  6.6012,  4.1247
7918,1, 22.2842, 44.5646, 29.1468, 28.2898, 23.9361, 31.5937, 20.2834, 26.9160, 26.5234, 11.7071, 28.5958, 37.0220, 15.4235, 16.4452, 26.3848, 19.6394, 31.3273, 27.6141, 46.5147, 30.6308, 35.3640, 28.5533, 16.2001, 10.5839
7918,1, 25.9845, 54.7385, 32.4501, 28.7269, 26.8416, 43.2621, 28.9597, 38.4727, 46.2337, 19.3303, 45.3565, 53.9949, 15.0091, 34.2181, 31.1018, 61.8654, 47.8934, 27.4814, 57.6923, 57.0262, 61.2289, 42.9714, 15.7431, 11.9257
7919,1, 28.3627, 52.6750, 19.5897, 17.5683, 16.5523, 25.6959, 31.6071, 23.7490, 27.9041, 11.5599, 35.8298, 45.0347, 10.9448, 20.8231, 19.7518, 52.9225, 41.6011, 19.9281, 65.0673, 47.6237, 42.1572, 28.6426, 10.5121,  4.7381
