movie_name,movie_slice,roi_index,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24
MVI_0785.MOV,0001,1, 46.5909, 75.3673, 49.4553, 42.5612, 42.3828, 59.0021, 52.8328, 50.3532, 63.8529, 28.3457, 65.6611, 72.8488, 25.9949, 44.6134, 42.7184, 80.1948, 68.8096, 45.8259, 84.1484, 68.3212, 77.4027, 53.7119, 19.2264, 11.8690
MVI_0785.MOV,0002,1, 47.0039, 75.5385, 49.6189, 42.8405, 42.6674, 59.6290, 53.0909, 50.8877, 64.4132, 28.3927, 65.9433, 73.1657, 26.2653, 44.7593, 42.7489, 80.5006, 69.1907, 45.6629, 84.0986, 68.4973, 77.5721, 54.1541, 19.2480, 11.9076
MVI_0785.MOV,0003,1, 47.0125, 75.5891, 49.7960, 42.8202, 42.6733, 59.4463, 53.2301, 50.9315, 64.4540, 28.7198, 66.0040, 73.2471, 26.5158, 44.7693, 43.2255, 80.5009, 69.3787, 46.1088, 84.3212, 68.6509, 77.8160, 54.1438, 19.4960, 12.0620
MVI_0785.MOV,0004,1, 46.9575, 75.6598, 49.7450, 43.0323, 42.9706, 59.4996, 53.3972, 50.9761, 64.4657, 28.5377, 65.9972, 73.3115, 26.4025, 45.3470, 43.0280, 80.5229, 69.2273, 46.2312, 84.2478, 68.7806, 77.8381, 54.1997, 19.3973, 11.8689
MVI_0785.MOV,0005,1, 47.1866, 75.6039, 49.8506, 42.7857, 42.8646, 59.6923, 53.2853, 50.8096, 64.4623, 28.4538, 65.8810, 73.2495, 26.2450, 45.1165, 42.9655, 80.4836, 69.1492, 46.0651, 84.2413, 68.8142, 77.9280, 54.1344, 19.3498, 12.2463
MVI_0785.MOV,0006,1, 47.0965, 75.7980, 49.6699, 42.8725, 43.0719, 59.7602, 53.4048, 50.9488, 64.5103, 28.7800, 66.1518, 73.3767, 26.2316, 45.2164, 43.0094, 80.4672, 69.3296, 46.1335, 84.1466, 68.7520, 77.7774, 54.2701, 19.5543, 12.0472
MVI_0785.MOV,0007,1, 47.0688, 75.7073, 49.7394, 43.0678, 42.8776, 59.6866, 53.6465, 51.0030, 64.5999, 28.5644, 65.9380, 73.3052, 26.2856, 45.2728, 42.9138, 80.5706, 69.4040, 46.1924, 84.3601, 68.9087, 78.0422, 54.4350, 19.3203, 12.3961
MVI_0785.MOV,0008,1, 47.2261, 75.5350, 49.7948, 42.8374, 42.9522, 59.7346, 53.4852, 51.1739, 64.5356, 28.4520, 66.0291, 73.3072, 26.3251, 45.1800, 43.0864, 80.5167, 69.3456, 46.2766, 84.3404, 68.7841, 77.8596, 54.4895, 19.5930, 12.0799
MVI_0785.MOV,0009,1, 47.1603, 75.6434, 49.8872, 43.0840, 42.9056, 59.6105, 53.4138, 51.0728, 64.6226, 28.5260, 65.9092, 73.1772, 26.1590, 45.2610, 43.0256, 80.5325, 69.2999, 46.2769, 84.2729, 68.8237, 77.9322, 54.2929, 19.0859, 12.0709
MVI_0785.MOV,0010,1, 47.1312, 75.6880, 49.8527, 42.8479, 43.0231, 59.8706, 53.5752, 51.1742, 64.5067, 28.6234, 65.9994, 73.2608, 26.2445, 45.3636, 43.0548, 80.5514, 69.3283, 46.2195, 84.2203, 68.8448, 77.9165, 54.3178, 19.3356, 12.1112
