movie_name,movie_slice,roi_index,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24
MVI_0785.MOV,0001,1, 46.6767, 75.0459, 48.9010, 41.8743, 42.1879, 59.3092, 52.0351, 49.8553, 63.7039, 28.4436, 65.4544, 72.9260, 25.4958, 44.2435, 42.4315, 79.8764, 68.2242, 45.1937, 83.8293, 67.7832, 76.9286, 53.7998, 18.8921, 11.3507
MVI_0785.MOV,0002,1, 46.7305, 75.1684, 49.4168, 42.2683, 42.2175, 59.2988, 52.5807, 50.2312, 63.7536, 28.4789, 65.6641, 72.6373, 25.4750, 44.8150, 42.8058, 80.1554, 68.4007, 45.4331, 83.9540, 67.9178, 77.2695, 53.7795, 18.6425, 11.5882
MVI_0785.MOV,0003,1, 46.7790, 75.5519, 49.6930, 42.5995, 42.1596, 59.4242, 52.8109, 50.7684, 64.0358, 28.5820, 65.8563, 72.5453, 25.9364, 44.8136, 42.7586, 80.3735, 68.3634, 45.7411, 83.9041, 67.9243, 77.5638, 54.2914, 18.8391, 11.6690
MVI_0785.MOV,0004,1, 46.6703, 75.2941, 49.5037, 42.6710, 42.0007, 59.4489, 52.7992, 50.8574, 63.8886, 28.6989, 65.7121, 72.6686, 25.8412, 44.8442, 42.7174, 80.6592, 68.5501, 45.5524, 83.9578, 67.9554, 77.4721, 54.1874, 18.7909, 11.7166
MVI_0785.MOV,0005,1, 46.8227, 75.2249, 49.5037, 42.7734, 42.3413, 59.2737, 52.7575, 50.7567, 64.0026, 28.5869, 65.9429, 72.4907, 25.9995, 45.0718, 42.8057, 80.6097, 68.4255, 45.6462, 83.9351, 67.9857, 77.4683, 53.9555, 18.7929, 11.5168
MVI_0785.MOV,0006,1, 46.8276, 75.3706, 49.5467, 42.8080, 42.5790, 59.4516, 52.8627, 51.1171, 63.8221, 28.6291, 65.7203, 72.6509, 25.8980, 44.9692, 42.7890, 80.5038, 68.5092, 45.7294, 83.9683, 68.0874, 77.5405, 54.0741, 18.8134, 11.7936
MVI_0785.MOV,0007,1, 46.8460, 75.4249, 49.7803, 42.6979, 42.2108, 59.4062, 52.8411, 50.9332, 63.9121, 28.9288, 65.8464, 72.8525, 25.7869, 45.1099, 42.8159, 80.5182, 68.4837, 45.8889, 84.1370, 68.1820, 77.6366, 54.0723, 18.9537, 11.8072
MVI_0785.MOV,0008,1, 46.6331, 75.3039, 49.4241, 42.4362, 42.0598, 59.2049, 52.4907, 50.8687, 63.5933, 28.5998, 65.6037, 72.6563, 25.6165, 44.5242, 42.5915, 80.2034, 68.3760, 45.5658, 83.8136, 67.9371, 77.1206, 53.7517, 18.7253, 11.5105
MVI_0785.MOV,0009,1, 46.4824, 75.2247, 49.6945, 42.3636, 42.2139, 59.2673, 52.7963, 50.6872, 63.5004, 28.7226, 65.6906, 72.5760, 25.6225, 44.7051, 42.6086, 80.5227, 68.4208, 45.7453, 83.7140, 67.9583, 77.4833, 53.9855, 18.9093, 11.8317
MVI_0785.MOV,0010,1, 46.4457, 75.3328, 49.4588, 42.4808, 42.3605, 59.0444, 52.6087, 50.6960, 63.5272, 28.5585, 65.5460, 72.4685, 25.9122, 44.7986, 42.5240, 80.1923, 68.5085, 45.5366, 83.8808, 67.8951, 77.3354, 53.9875, 18.6682, 11.4952
MVI_0785.MOV,0011,1, 46.6504, 75.0990, 49.4186, 42.4767, 42.1671, 59.3108, 52.6701, 50.8292, 63.4697, 28.4922, 65.4222, 72.3984, 25.7360, 44.5086, 42.6923, 80.0812, 68.2320, 45.6614, 83.7852, 67.7065, 77.4961, 53.9755, 18.8031, 11.6895
MVI_0785.MOV,0012,1, 46.5309, 75.2620, 49.5774, 42.4982, 42.0781, 59.2565, 52.5042, 50.4801, 63.5207, 28.5955, 65.5431, 72.5078, 25.8318, 44.6050, 42.5709, 80.2014, 68.2543, 45.4240, 83.7092, 67.8684, 77.2431, 54.0190, 18.7739, 11.6233
MVI_0785.MOV,0013,1, 46.5887, 75.2630, 49.3422, 42.4726, 41.9997, 59.2660, 52.7369, 50.8219, 63.4697, 28.5548, 65.4596, 72.4982, 25.9027, 44.9712, 42.4311, 80.2421, 68.4027, 45.6253, 83.8537, 68.0211, 77.3698, 53.8681, 18.8845, 11.9516
MVI_0785.MOV,0014,1, 46.5554, 75.1792, 49.3678, 42.5191, 42.2687, 59.0987, 52.6179, 50.6766, 63.5160, 28.5387, 65.4656, 72.5599, 25.7105, 44.7259, 42.7711, 80.1736, 68.3779, 45.5723, 83.8534, 67.7168, 77.3926, 53.8711, 18.7346, 11.7536
MVI_0785.MOV,0015,1, 46.4522, 75.0968, 49.5393, 42.4578, 42.2514, 59.1870, 52.5561, 50.5683, 63.5646, 28.3078, 65.5484, 72.3924, 25.6712, 44.6926, 42.7648, 80.1159, 68.1982, 45.6003, 83.7370, 67.7648, 77.3818, 53.7383, 18.9284, 11.7935
MVI_0785.MOV,0016,1, 46.5441, 75.1233, 49.4128, 42.5211, 42.0952, 59.0383, 52.8829, 50.5239, 63.4776, 28.4231, 65.4686, 72.5031, 25.5947, 44.6626, 42.6857, 80.0228, 68.3394, 45.6114, 83.5658, 67.7927, 77.3602, 53.6909, 18.7160, 11.5421
MVI_0785.MOV,0017,1, 46.3944, 75.2158, 49.1414, 42.3737, 42.1009, 59.1258, 52.7044, 50.4640, 63.6827, 28.6097, 65.5746, 72.5817, 25.7501, 44.7746, 42.4821, 80.1435, 68.4325, 45.5775, 83.7700, 68.0005, 77.3963, 53.9353, 18.4780, 11.8696
MVI_0785.MOV,0018,1, 46.5712, 75.1971, 49.4405, 42.4936, 42.2415, 59.1225, 52.7619, 50.7202, 63.4825, 28.5847, 65.5582, 72.4404, 25.6785, 44.5971, 42.5359, 80.2540, 68.4631, 45.5100, 83.8650, 67.7857, 77.4033, 53.8012, 18.7096, 11.6697
MVI_0785.MOV,0019,1, 46.5308, 75.2483, 49.4144, 42.5693, 42.0312, 59.1686, 52.5024, 50.6318, 63.4903, 28.5501, 65.6431, 72.4249, 25.6876, 44.5564, 42.5905, 80.4238, 68.3269, 45.5345, 83.7772, 67.8966, 77.1089, 53.8911, 18.8262, 11.7721
MVI_0785.MOV,0020,1, 46.6298, 75.0122, 49.4313, 42.5674, 42.0431, 58.9802, 52.7750, 50.6893, 63.5676, 28.3734, 65.2871, 72.4496, 25.6586, 44.8501, 42.6066, 80.2836, 68.3247, 45.6131, 83.6587, 67.8583, 77.5184, 53.8333, 18.8198, 11.7716
MVI_0785.MOV,0021,1, 46.5321, 75.1256, 49.4923, 42.3799, 41.9443, 59.3182, 52.7061, 50.5812, 63.4206, 28.4723, 65.5047, 72.5043, 25.9194, 44.8257, 42.6873, 80.3318, 68.3090, 45.5050, 83.7639, 67.8063, 77.1946, 53.7990, 18.9245, 11.5990
MVI_0785.MOV,0022,1, 46.6259, 75.3101, 49.6355, 42.6588, 42.2052, 59.2133, 52.8348, 50.7546, 63.8592, 28.8451, 65.6798, 72.5743, 25.6592, 44.9998, 42.6455, 80.2353, 68.3862, 45.5959, 83.7804, 67.9658, 77.4964, 54.1358, 18.7516, 11.7178
MVI_0785.MOV,0023,1, 46.5291, 75.1522, 49.7553, 42.5792, 42.2323, 59.5927, 52.5848, 50.8515, 63.6818, 28.6688, 65.9401, 72.6262, 25.8205, 44.8917, 42.7538, 80.3031, 68.6165, 45.6058, 84.1109, 68.0473, 77.4486, 54.1418, 19.0041, 11.7445
MVI_0785.MOV,0024,1, 46.8931, 75.4873, 49.9681, 42.8306, 42.3929, 59.7882, 53.0311, 51.0705, 64.0047, 28.8287, 65.9801, 72.8254, 26.0614, 45.1203, 42.9224, 80.4982, 68.8666, 45.9381, 84.0162, 68.1041, 77.6788, 54.2545, 19.0049, 11.8784
MVI_0785.MOV,0025,1, 46.8874, 75.4626, 49.9519, 43.2154, 42.6599, 59.6403, 52.8306, 50.8909, 63.8988, 28.8919, 65.9154, 72.8712, 26.1761, 44.8495, 43.1247, 80.6091, 68.7982, 45.8576, 84.1279, 68.1118, 77.7465, 54.3583, 19.1344, 11.8445
MVI_0785.MOV,0026,1, 47.0965, 75.6650, 50.1544, 43.1573, 42.6171, 59.7514, 53.2230, 51.0310, 64.1096, 28.9946, 66.0102, 73.0004, 26.1303, 45.0475, 42.9624, 80.7092, 68.6756, 45.9094, 84.1836, 68.3680, 77.7319, 54.5263, 19.2162, 12.0666
MVI_0785.MOV,0027,1, 47.1484, 75.6332, 49.9205, 42.9985, 42.5970, 59.8007, 53.1758, 51.2409, 64.0575, 28.8634, 65.9532, 72.8742, 26.0687, 45.1163, 43.1420, 80.6580, 68.8083, 45.9448, 83.9606, 68.3937, 77.7784, 54.5708, 19.1351, 12.0501
MVI_0785.MOV,0028,1, 46.9500, 75.6195, 49.8987, 43.1269, 42.7232, 59.5174, 53.0145, 51.1131, 63.9620, 28.9981, 65.9281, 72.7740, 26.2010, 45.1278, 43.0882, 80.7456, 68.7031, 46.0270, 84.1073, 68.3667, 77.7256, 54.3635, 19.2491, 11.8188
MVI_0785.MOV,0029,1, 47.0915, 75.7539, 50.1078, 43.0433, 42.5240, 59.7377, 53.0146, 51.0338, 64.2514, 28.9809, 66.2046, 72.9271, 26.1100, 45.4755, 43.0676, 80.6568, 68.9341, 45.9431, 84.2322, 68.3132, 77.7731, 54.4940, 19.1094, 11.9742
MVI_0785.MOV,0030,1, 46.9871, 75.8191, 49.8502, 42.8547, 42.6130, 59.6406, 53.1388, 51.2403, 64.0607, 28.8309, 66.1285, 72.7357, 26.3142, 45.0821, 43.1066, 80.6482, 68.8659, 45.8570, 84.2633, 68.3119, 77.9260, 54.5536, 19.0493, 11.7455
MVI_0785.MOV,0031,1, 46.9663, 75.5649, 50.0925, 43.0439, 42.6830, 59.7361, 53.0858, 51.2330, 64.0201, 28.8754, 66.0268, 72.9324, 26.1434, 45.0895, 43.0660, 80.7437, 68.9580, 45.8884, 83.9813, 68.3675, 77.9190, 54.5324, 19.0543, 12.0672
