movie_name,movie_slice,roi_index,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24
MVI_0785.MOV,0001,1, 49.9022, 78.3867, 51.7690, 43.7634, 43.5601, 60.9158, 55.0355, 52.1040, 66.2957, 29.4728, 67.0826, 74.3721, 25.5813, 46.0314, 43.6949, 81.8220, 69.6132, 46.7427, 85.7184, 69.9871, 78.7338, 55.2170, 20.0660, 11.5835
MVI_0785.MOV,0002,1, 49.7205, 78.6027, 52.1003, 44.4661, 43.7652, 61.3902, 55.2149, 53.0099, 66.5060, 29.6418, 67.2527, 74.3253, 25.8496, 46.5479, 44.0584, 81.8682, 69.7279, 46.9921, 85.5928, 70.2361, 79.1060, 55.4248, 19.8667, 11.3171
MVI_0785.MOV,0003,1, 49.7654, 78.8147, 52.3229, 44.6783, 43.9061, 61.2979, 55.3370, 53.5058, 66.6887, 29.7047, 67.3536, 74.3482, 25.9721, 46.4583, 44.0607, 81.7963, 69.6922, 46.9502, 85.6290, 70.2914, 79.3380, 55.3378, 19.5702, 11.4868
MVI_0785.MOV,0004,1, 49.8075, 78.6457, 52.3158, 44.8367, 43.8196, 61.6674, 55.2682, 53.5206, 66.6134, 29.8890, 67.1850, 74.1820, 25.8127, 47.0338, 43.8726, 81.8665, 69.6939, 46.9818, 85.7207, 70.3103, 79.4243, 55.6552, 19.4627, 11.2273
MVI_0785.MOV,0005,1, 49.6969, 78.6416, 52.4300, 44.5554, 43.8383, 61.6217, 55.3049, 53.1660, 66.5630, 29.6881, 67.1425, 74.3033, 25.6730, 46.3246, 44.0580, 81.8335, 69.5144, 46.8723, 85.5683, 70.3047, 79.3233, 55.4799, 19.5288, 11.2637
MVI_0785.MOV,0006,1, 49.8203, 78.6146, 52.5649, 44.8680, 43.8182, 61.5485, 55.2215, 53.3511, 66.6995, 29.7428, 67.1835, 74.2707, 25.8582, 46.6204, 44.1370, 82.1030, 69.7212, 47.1218, 85.8320, 70.2671, 79.4832, 55.3747, 19.5498, 10.9900
MVI_0785.MOV,0007,1, 49.8003, 78.8701, 52.3902, 44.7382, 43.8634, 61.6835, 55.3630, 53.5002, 66.9064, 29.6919, 67.2238, 74.5552, 26.0017, 46.5507, 44.0497, 82.0304, 69.7070, 46.9177, 85.7148, 70.1760, 79.2537, 55.6014, 19.7986, 11.2529
MVI_0785.MOV,0008,1, 49.7634, 78.6682, 52.4711, 44.9403, 43.8503, 61.4021, 55.2645, 53.4510, 66.6950, 29.7373, 67.1818, 74.2693, 25.7951, 46.4055, 43.7476, 81.8507, 69.6909, 46.7652, 85.5181, 70.2871, 79.2262, 55.4773, 19.6030, 11.3302
MVI_0785.MOV,0009,1, 49.7014, 78.6021, 52.2945, 44.7168, 43.8428, 61.5166, 55.1180, 53.3256, 66.6338, 29.6101, 67.3718, 74.4427, 25.7076, 46.5220, 44.0488, 81.8080, 69.5164, 47.0871, 85.7716, 70.1781, 79.1507, 55.4876, 19.6993, 11.4515
MVI_0785.MOV,0010,1, 49.6439, 78.3954, 52.0271, 44.6421, 43.6211, 61.1726, 55.0862, 53.3469, 66.3739, 29.7396, 67.1765, 74.1877, 25.6792, 46.4764, 43.6721, 81.6610, 69.5868, 46.8857, 85.4674, 70.0156, 79.1261, 55.2912, 19.3619, 11.2738
MVI_0785.MOV,0011,1, 49.6060, 78.3490, 52.1302, 44.4615, 43.5847, 61.3622, 55.0457, 53.1873, 66.5204, 29.4879, 66.9974, 74.1095, 25.4365, 46.4085, 43.7491, 81.4697, 69.5123, 46.8170, 85.6960, 70.1291, 79.1448, 55.2123, 19.4005, 11.3457
MVI_0785.MOV,0012,1, 49.3417, 78.6348, 52.2026, 44.5028, 43.6553, 61.1998, 54.9727, 53.2429, 66.4724, 29.5195, 66.8977, 74.0670, 25.5181, 46.5362, 43.6958, 81.6682, 69.5567, 46.7719, 85.5777, 70.1622, 79.1773, 55.0652, 19.5298, 11.2063
MVI_0785.MOV,0013,1, 49.5965, 78.4639, 52.0594, 44.4147, 43.5960, 61.0503, 55.1015, 53.2015, 66.4359, 29.7901, 67.1016, 74.3142, 25.5994, 46.3772, 43.9942, 81.6784, 69.5381, 46.9704, 85.5749, 70.1063, 79.2864, 55.2607, 19.2879, 11.0772
MVI_0785.MOV,0014,1, 49.5440, 78.4085, 52.2935, 44.5776, 43.5803, 61.1157, 55.1299, 53.1646, 66.6219, 29.6610, 67.0738, 74.2561, 25.6060, 46.3751, 43.7882, 81.7571, 69.4231, 46.7948, 85.5061, 70.0857, 79.1434, 55.1120, 19.2963, 11.3835
MVI_0785.MOV,0015,1, 49.5154, 78.4761, 52.0118, 44.4664, 43.4354, 61.2628, 55.0526, 53.1000, 66.4379, 29.5261, 66.8728, 74.1653, 25.7071, 46.3471, 43.8281, 81.5883, 69.5211, 46.8780, 85.5057, 70.0566, 79.3077, 55.3250, 19.2513, 11.2283
MVI_0785.MOV,0016,1, 49.5038, 78.4808, 52.1062, 44.6642, 43.5873, 61.0460, 54.8628, 53.1992, 66.3273, 29.6539, 67.2053, 74.1253, 25.6999, 46.2494, 43.8405, 81.5270, 69.3869, 46.8545, 85.6007, 70.0447, 79.1316, 55.2599, 19.5865, 11.2842
MVI_0785.MOV,0017,1, 49.5965, 78.4915, 52.2267, 44.7545, 43.6216, 61.2562, 55.0757, 53.4208, 66.5339, 29.6623, 67.0846, 74.2615, 25.5771, 46.4873, 43.8246, 81.7928, 69.7617, 46.8606, 85.6512, 69.9390, 79.2001, 55.3692, 19.6155, 11.6569
MVI_0785.MOV,0018,1, 49.6888, 78.6873, 52.2927, 44.7587, 43.7402, 61.3752, 55.1738, 53.4713, 66.6590, 29.6661, 67.2515, 74.3391, 25.8894, 46.4911, 43.9365, 81.8298, 69.6517, 46.9410, 85.5400, 70.2320, 79.2768, 55.3524, 19.8142, 11.2835
