movie_name,movie_slice,roi_index,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24
MVI_0785.MOV,0001,1, 50.6984, 79.7409, 53.5551, 45.2960, 45.7320, 63.3143, 56.4816, 54.7226, 67.5039, 30.5037, 68.6352, 75.9540, 29.0707, 49.0878, 45.0679, 82.0159, 71.3053, 48.8161, 85.9269, 70.1183, 80.6948, 56.2606, 20.2037, 10.9301
MVI_0785.MOV,0002,1, 50.8897, 79.7495, 53.9441, 46.0716, 45.9962, 63.5030, 56.7994, 55.0941, 68.1776, 30.9389, 68.6897, 76.1670, 28.9758, 49.3637, 45.0184, 82.2503, 71.2242, 49.1123, 86.1772, 70.7447, 80.6349, 56.6317, 20.0334, 11.7524
MVI_0785.MOV,0003,1, 50.6184, 79.9354, 54.2146, 46.1537, 46.2263, 63.6884, 57.1505, 55.6850, 68.3442, 30.7683, 68.9378, 76.0041, 29.1725, 48.8383, 45.2063, 82.3481, 71.2220, 49.1379, 86.4107, 70.9733, 80.7003, 57.1253, 20.0796, 12.2193
MVI_0785.MOV,0004,1, 50.3774, 79.9567, 54.0558, 46.3027, 46.0790, 63.8109, 56.8749, 55.5465, 68.2046, 30.8356, 68.8552, 76.2300, 29.1267, 49.3756, 45.0303, 82.0725, 71.2691, 49.1384, 86.3348, 71.0692, 80.8900, 57.0305, 20.1875, 12.4739
MVI_0785.MOV,0005,1, 50.5558, 79.9700, 53.8899, 46.2767, 46.0133, 63.5344, 57.0407, 55.5126, 68.2174, 30.7597, 69.0242, 76.0634, 29.2110, 49.4764, 44.8994, 82.1305, 71.2129, 49.2777, 86.1726, 71.0413, 80.6627, 57.0934, 19.5083, 11.7590
MVI_0785.MOV,0006,1, 50.5925, 79.8678, 54.0375, 46.1743, 45.9013, 63.5245, 56.8295, 55.6262, 68.2052, 30.6798, 69.0451, 76.0745, 29.0770, 49.1778, 44.9635, 82.0468, 70.9425, 48.8768, 86.1307, 71.0293, 80.7896, 57.1695, 19.6504, 11.8290
MVI_0785.MOV,0007,1, 50.3625, 80.0478, 54.1103, 46.2678, 46.0402, 63.6630, 56.8586, 55.5752, 68.0306, 30.5708, 68.8152, 76.0911, 29.1916, 49.3065, 45.0697, 82.2323, 71.1150, 48.9359, 86.3041, 70.9568, 80.6526, 57.1754, 19.7629, 11.6297
MVI_0785.MOV,0008,1, 50.4719, 79.9879, 54.2376, 46.2081, 45.9908, 63.5860, 57.0085, 55.5725, 68.0895, 30.6740, 68.6592, 76.0178, 29.0304, 49.5415, 45.0195, 82.1649, 71.2111, 48.9311, 86.1658, 70.9773, 80.7504, 57.0394, 19.5842, 11.9362
MVI_0785.MOV,0009,1, 50.5067, 79.8445, 54.3344, 46.3630, 46.0843, 63.6612, 57.1350, 55.6733, 68.3202, 31.1229, 68.9447, 76.2134, 29.0056, 49.3772, 45.2561, 82.2890, 71.0493, 49.2006, 86.3303, 71.0554, 80.7805, 57.2455, 20.5342, 12.5606
MVI_0785.MOV,0010,1, 50.4871, 79.9742, 54.1024, 46.1571, 45.8084, 63.7248, 56.9986, 55.8264, 68.2484, 30.7032, 68.9563, 76.2457, 29.2548, 49.5116, 45.0040, 82.0732, 71.0905, 48.9842, 86.1335, 70.9636, 80.6477, 57.1339, 19.8932, 11.6977
