movie_name,movie_slice,roi_index,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24
MVI_7916.MOV,0001,2, 35.8202, 58.2457, 47.9913, 35.5751, 32.0006, 48.0537, 34.7523, 32.4930, 43.0558, 23.1851, 44.8724, 58.2484, 12.1580, 19.5108, 27.0865, 45.4609, 39.7302, 31.3536, 49.3006, 28.3560, 35.2830, 26.8490, 15.9902,  6.8028
MVI_7916.MOV,0002,2, 36.6419, 58.1953, 48.8880, 36.3614, 33.8041, 49.4434, 35.0363, 34.4261, 43.2625, 23.7412, 45.0892, 57.9790, 14.0358, 21.1484, 29.0836, 45.3257, 41.7053, 33.9293, 49.6518, 29.2507, 35.9832, 29.5825, 19.2370,  8.8129
MVI_7916.MOV,0003,2, 36.7457, 61.5372, 49.7014, 36.8683, 35.2401, 50.3584, 37.1883, 33.4115, 45.6027, 23.9561, 48.2721, 61.6698, 12.0312, 20.0609, 27.1704, 50.2074, 41.4182, 30.4630, 54.5446, 32.0605, 39.4708, 28.1609, 15.6134,  7.8134
MVI_7916.MOV,0004,2, 36.2456, 61.4297, 49.6634, 36.6824, 35.1626, 50.2365, 36.7215, 33.1537, 45.4021, 23.6990, 47.9206, 61.3284, 11.8113, 19.7630, 27.3370, 50.0386, 41.4445, 30.6196, 54.0402, 31.9291, 39.3031, 27.8872, 15.7357,  7.6642
MVI_7916.MOV,0005,2, 37.2354, 62.0767, 50.3165, 38.3529, 36.2528, 51.0960, 38.4477, 34.5172, 46.1645, 24.3364, 48.7997, 61.8946, 13.0894, 21.2521, 29.0137, 51.6310, 42.8920, 32.1402, 56.0493, 33.7182, 40.7959, 29.6789, 17.1133,  8.7289
MVI_7916.MOV,0006,2, 37.2797, 62.2816, 50.4308, 38.4273, 36.2747, 51.4563, 38.5870, 34.5079, 46.3888, 24.6519, 49.2557, 62.2289, 13.4012, 21.7567, 29.1202, 51.9057, 43.2378, 32.4657, 56.3400, 33.9610, 41.1921, 29.9209, 16.9311,  9.0028
MVI_7916.MOV,0007,2, 37.4582, 62.2357, 50.5068, 38.4734, 36.3479, 51.5499, 38.6010, 34.7121, 46.4418, 24.6682, 49.0001, 62.1341, 13.2571, 21.6871, 29.2098, 51.8504, 43.2797, 32.1892, 56.2654, 33.9424, 41.5727, 29.8942, 17.2957,  8.9478
MVI_7916.MOV,0008,2, 37.7099, 62.1949, 50.3824, 38.4052, 36.5627, 51.3537, 38.4851, 34.6131, 46.4959, 24.5693, 48.8667, 62.3114, 13.4976, 21.9735, 28.9581, 52.1124, 43.1719, 32.4886, 56.4840, 33.9631, 40.9860, 30.0153, 17.2863,  8.7686
MVI_7916.MOV,0009,2, 37.2065, 62.3001, 50.2641, 38.6356, 36.3870, 51.3554, 38.5326, 34.5391, 46.5899, 24.7207, 49.0233, 62.2854, 13.2567, 21.5507, 29.1165, 52.0075, 43.3001, 32.4273, 56.1905, 34.0380, 41.4050, 30.0195, 17.0623,  8.7220
MVI_7916.MOV,0010,2, 37.4158, 62.1407, 50.3389, 38.4893, 36.4443, 51.5982, 38.7728, 34.5208, 46.4838, 24.5230, 49.1224, 62.2809, 13.6108, 21.8118, 29.1736, 51.9751, 42.9710, 32.5844, 56.4977, 34.0415, 41.4226, 30.1415, 16.8812,  8.9271
MVI_7916.MOV,0011,2, 37.9286, 62.1892, 50.6046, 38.7894, 36.3131, 51.4767, 38.6891, 34.4824, 46.2884, 24.6921, 48.9170, 62.2246, 13.7052, 21.5783, 29.3085, 51.8197, 43.1845, 32.5477, 56.4462, 33.8581, 41.2819, 30.0090, 17.0487,  8.7742
MVI_7916.MOV,0012,2, 37.4535, 62.2885, 50.8004, 38.4072, 36.4146, 51.6030, 38.6484, 34.5879, 46.5935, 24.6768, 49.2858, 62.2985, 13.3547, 21.8875, 29.1544, 51.8944, 43.2970, 32.3936, 56.4671, 33.9388, 41.4226, 29.9563, 17.0730,  8.8352
MVI_7916.MOV,0013,2, 37.4690, 62.0255, 50.4241, 38.6783, 36.4140, 51.1813, 38.7789, 34.7796, 46.6920, 24.7600, 49.1027, 62.0736, 13.3886, 21.6131, 29.1818, 52.1687, 43.3827, 32.4860, 56.4354, 33.9603, 41.4295, 29.9889, 17.2816,  8.9670
MVI_7916.MOV,0014,2, 37.6714, 62.3262, 50.5715, 38.4857, 36.5387, 51.5743, 38.8734, 34.6456, 46.3896, 24.8418, 49.3888, 62.0075, 13.5127, 21.8182, 29.3632, 51.9102, 43.2673, 32.5776, 56.4392, 34.1204, 41.3363, 29.9701, 17.2129,  8.9181
MVI_7916.MOV,0015,2, 37.6383, 62.2334, 50.4777, 38.4163, 36.3600, 51.2915, 38.6435, 34.5333, 46.5868, 24.6480, 49.0913, 62.4666, 13.6438, 21.8588, 29.0840, 51.9843, 43.1803, 32.5513, 56.4186, 34.1018, 40.9929, 30.0641, 16.9680,  9.0121
MVI_7916.MOV,0016,2, 37.7021, 62.2811, 50.3813, 38.7679, 36.1577, 51.3799, 38.5945, 34.5506, 46.4061, 24.5661, 48.6717, 62.4545, 13.2982, 21.7972, 29.1166, 52.1444, 43.2064, 32.2759, 56.4026, 33.9415, 41.4886, 30.0308, 17.4063,  8.8825
MVI_7916.MOV,0017,2, 37.4623, 62.3462, 50.5277, 38.4588, 36.3373, 51.4974, 38.5866, 34.5791, 46.3739, 24.6799, 49.0700, 62.3562, 13.1549, 21.8332, 29.2549, 51.9407, 43.0941, 32.2973, 56.5075, 33.9666, 41.3955, 30.0767, 17.0659,  9.0448
MVI_7916.MOV,0018,2, 37.7601, 62.1680, 50.4527, 38.5775, 36.4007, 51.3299, 38.6538, 34.5577, 46.5952, 24.8042, 49.0262, 62.2862, 13.4891, 21.6457, 29.2862, 51.9611, 43.3159, 32.2419, 56.4808, 33.7545, 41.2323, 29.9032, 17.0591,  8.9188
