uvvis_path,Abs at 570 nm
/Volumes/Mac Ext 2/Suda Electrochromism/20161101/1101NO1.TXT,1.3330
/Volumes/Mac Ext 2/Suda Electrochromism/20161101/1101NO9.TXT,0.4480
/Volumes/Mac Ext 2/Suda Electrochromism/20161101/1101NO15.TXT,0.5910
/Volumes/Mac Ext 2/Suda Electrochromism/20161101/1101NO21.TXT,0.3860
/Volumes/Mac Ext 2/Suda Electrochromism/20161101/1101NO27.TXT,0.2190
/Volumes/Mac Ext 2/Suda Electrochromism/20161101/1101NO31.TXT,1.5640
/Volumes/Mac Ext 2/Suda Electrochromism/20161101/1101NO39.TXT,0.5270
/Volumes/Mac Ext 2/Suda Electrochromism/20161101/1101NO45.TXT,0.5880
/Volumes/Mac Ext 2/Suda Electrochromism/20161101/1101NO51.TXT,0.4380
/Volumes/Mac Ext 2/Suda Electrochromism/20161101/1101NO57.TXT,0.2120
