image_path,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24
/Volumes/ExtWork/Suda Electrochromism/20161101/IMG_7966.JPG, 31.3496, 63.5239, 51.2590, 27.7966, 35.4578, 44.4988, 37.2870, 37.4236, 50.3549, 19.0871, 47.2035, 57.5063, 11.1248, 23.5111, 28.8245, 64.9204, 48.4766, 25.5455, 61.7952, 46.2370, 53.9624, 34.1192, 10.4618,  7.9583
/Volumes/ExtWork/Suda Electrochromism/20161101/IMG_7968.JPG, 33.0717, 65.4490, 53.8745, 29.6354, 33.8501, 44.1273, 40.6797, 40.9375, 50.9359, 21.2260, 50.5421, 59.3802, 13.6999, 26.0823, 29.7722, 63.9684, 51.5222, 25.4121, 63.7788, 43.9533, 55.6371, 34.9990, 10.2940,  7.1703
/Volumes/ExtWork/Suda Electrochromism/20161101/IMG_7969.JPG, 31.7247, 65.6056, 44.9632, 32.4146, 31.3507, 45.2918, 41.8958, 38.8111, 50.4421, 19.7508, 53.2760, 60.2750, 15.6653, 27.3925, 29.1662, 67.6692, 53.7465, 26.4572, 64.7057, 47.4366, 57.6722, 35.9024, 13.1570,  8.8989
/Volumes/ExtWork/Suda Electrochromism/20161101/IMG_7970.JPG, 30.6471, 62.7154, 45.9755, 33.1433, 27.4624, 40.7513, 38.2734, 36.6464, 49.0614, 21.7072, 51.1104, 60.0078, 11.7068, 23.0292, 28.1074, 65.2786, 45.0951, 25.0329, 63.9535, 47.4988, 54.1011, 35.6634,  7.8034,  5.3353
/Volumes/ExtWork/Suda Electrochromism/20161101/IMG_7971.JPG, 32.7943, 66.9168, 46.5613, 31.9893, 31.7085, 43.7063, 39.4736, 38.8374, 52.0633, 20.7958, 50.8052, 59.6915, 11.3879, 23.5685, 30.0055, 65.7914, 49.2287, 24.0929, 64.1367, 45.2194, 57.8428, 37.1436,  8.4958,  5.9577
/Volumes/ExtWork/Suda Electrochromism/20161101/IMG_7972.JPG, 35.0306, 64.0935, 48.1197, 28.4063, 31.2373, 41.7461, 42.5070, 37.8177, 50.2786, 23.1211, 54.4182, 60.3677, 11.7314, 24.5717, 29.1134, 67.7026, 50.2130, 25.8513, 61.1101, 44.5899, 53.6368, 35.4344,  7.4299,  7.7266
/Volumes/ExtWork/Suda Electrochromism/20161101/IMG_7973.JPG, 35.2139, 63.7530, 46.7918, 30.7805, 29.9675, 42.1041, 44.7083, 37.3856, 49.0110, 22.1059, 55.5180, 62.3068, 12.8261, 26.1956, 29.0752, 66.2238, 48.6160, 21.3258, 64.8353, 47.2170, 57.6767, 33.6034, 12.2681,  7.4093
/Volumes/ExtWork/Suda Electrochromism/20161101/IMG_7974.JPG, 34.4883, 67.7993, 47.5499, 28.2440, 35.9643, 43.3955, 41.5075, 41.8576, 50.4078, 22.9297, 52.2411, 59.3044, 15.1806, 26.7791, 31.8745, 67.4759, 50.8985, 25.4031, 64.7459, 45.8438, 58.8034, 39.2250, 14.9480,  8.3560
/Volumes/ExtWork/Suda Electrochromism/20161101/IMG_7975.JPG, 29.1766, 65.5319, 49.2862, 28.1845, 34.5591, 47.2365, 42.9091, 39.9777, 50.6613, 24.5167, 50.8505, 58.1972, 13.4297, 25.7937, 32.4252, 67.4680, 48.9728, 24.5269, 64.0301, 48.4810, 55.5324, 35.6822,  8.6540,  7.5462
/Volumes/ExtWork/Suda Electrochromism/20161101/IMG_7976.JPG, 31.8190, 63.7872, 46.1889, 30.8243, 33.6336, 42.1735, 40.7117, 41.7567, 50.6387, 21.0904, 51.6153, 60.4821, 12.0438, 24.2857, 29.3335, 64.7135, 50.8495, 23.4980, 61.9916, 45.5139, 53.9475, 33.4963,  8.5879,  5.6610
