Posn (Âµm),C At%,O At%,Ga At%,Na At%,Si At%,Ca At%,K At%,S At%,,,左からカーボン蒸着膜、PEDOT/PU、ガラス,,,,縦軸は原子%
0.000,91.94931,2.258002,5.628197,0,0.1279753,0,0.02954349,0.006973706,,,,,,,
0.043,91.60359,2.386133,5.637352,0.05120006,0.2454361,0,0.01031801,0.06597642,,,,,,,
0.086,91.24863,2.521033,5.683467,0.06370756,0.2499039,0.1740468,0.01618534,0.04303722,,,,,,,
0.129,91.15768,2.699156,5.68925,0.03143386,0.2409517,0,0.1238002,0.05771124,,,,,,,
0.172,91.09122,2.824391,5.632364,0,0.2784958,0.08458684,0.02291567,0.06601963,,,,,,,
0.215,91.1237,2.809976,5.679991,0,0.2286486,0.09955011,0.05169507,0.006431054,,,,,,,
0.258,91.0983,2.674459,5.667476,0.06092408,0.3733211,0.01869616,0.06738734,0.03945364,,,,,,,
0.301,91.35474,2.556632,5.667265,0.04268066,0.2652566,0.03325278,0.01971226,0.06045695,,,,,,,
0.344,91.07543,2.588707,5.799789,0,0.2668102,0.02887923,0.1678824,0.07250063,,,,,,,
0.387,91.37909,2.471432,5.696172,0.02158566,0.3035,0,0.006070443,0.1221476,,,,,,,
0.430,91.50227,2.477257,5.72832,0,0.186543,0.04815619,0,0.05745152,,,,,,,
0.473,91.24874,2.359979,5.983944,0.1061396,0.1773034,0.05455802,0.0206389,0.04869605,,,,,,,
0.516,91.40191,2.332756,5.987192,0,0.246527,0,0,0.0316112,,,,,,,
0.559,91.21044,2.463425,5.956726,0,0.2671196,0,0.08276548,0.01952115,,,,,,,
0.602,90.58465,2.916449,5.905365,0.1240616,0.3081984,0.07696627,0.07656965,0.007749904,,,,,,,
0.644,89.3977,3.733938,6.113652,0.008223791,0.4718007,0.122684,0.009965932,0.1420247,,,,,,,
0.687,88.60429,4.521131,6.043569,0.07293154,0.5392942,0.126422,0.03182004,0.06055682,,,,,,,
0.730,87.66825,5.13812,6.058571,0,0.6713206,0.1851506,0.1624217,0.1161551,,,,,,,
0.773,86.87653,5.773525,5.998536,0.1231543,0.8577092,0.1314413,0.09144282,0.1476635,,,,,,,
0.816,86.068,6.539226,6.004576,0.08207271,0.8721653,0.1510548,0.05567579,0.2272162,,,,,,,
0.859,84.57605,7.505373,5.935709,0.253449,1.043314,0.1402636,0.2158869,0.3299567,,,,,,,
0.902,83.60867,8.351861,5.665919,0.4051346,1.185156,0.2142077,0.14742,0.4216247,,,,,,,
0.945,81.58115,10.26671,5.447196,0.3979029,1.324891,0.3151495,0.1297714,0.5372268,,,,,,,
0.988,79.54929,12.21311,4.982035,0.4983208,1.495835,0.4706882,0,0.7907317,,,,,,,
1.031,76.52758,14.53041,4.591093,0.617359,1.937694,0.708858,0.05276875,1.034241,,,,,,,
1.074,73.10347,16.92019,4.33346,0.761825,2.427974,1.00716,0.2144498,1.23147,,,,,,,
1.117,70.53905,17.93801,4.407385,0.9118188,3.238951,1.360203,0.2709312,1.333659,,,,,,,
1.160,70.01423,18.05478,4.493977,0.8862656,3.624068,1.256711,0.3708946,1.299083,,,,,,,
1.203,68.14862,18.83824,4.757131,1.168325,4.181343,1.195829,0.2919146,1.418601,,,,,,,
1.246,66.26067,19.6203,5.23731,1.230222,4.592007,1.255349,0.3915648,1.41258,,,,,,,
1.289,65.84141,19.31617,5.513825,1.3292,4.846281,1.512575,0.2346761,1.40586,,,,,,,
1.332,65.85276,19.22239,5.511774,1.44985,4.90808,1.378462,0.3414667,1.335211,,,,,,,
1.375,65.39191,19.37078,5.484492,1.446001,5.154232,1.343588,0.4188103,1.390196,,,,,,,
1.418,64.16841,19.35439,5.640058,1.74028,5.535612,1.656104,0.4301172,1.475028,,,,,,,
1.461,63.10014,20.09167,5.641524,1.687716,5.68179,1.668944,0.4903099,1.637909,,,,,,,
1.504,63.16422,20.2738,5.73212,1.892981,5.373492,1.692198,0.3546405,1.516555,,,,,,,
1.547,62.40419,20.57351,5.795831,1.841825,5.691904,1.710027,0.3529057,1.629817,,,,,,,
1.590,59.64059,21.99913,6.303885,1.905771,6.053427,1.982705,0.5441666,1.570319,,,,,,,
1.633,57.99845,23.12296,6.503134,2.099088,6.071457,2.055452,0.5685053,1.580956,,,,,,,
1.676,57.96214,24.18105,6.371825,1.735125,6.125872,1.89212,0.247047,1.484817,,,,,,,
1.719,54.53469,26.47528,6.771058,2.031349,6.431839,1.992379,0.3598596,1.403534,,,,,,,
1.762,52.0957,27.79307,7.321289,2.092671,7.049707,1.864716,0.2913601,1.491496,,,,,,,
