Number,pedot content [wt%],Spin coating speed [rpm],a,b,c,d,e,f,Mean [um],Stdev [um],Relative stdev,,,,,,
1,80,500,1293,1682,3689,1303,1533,1544,1841,918,50%,,,,,,
2,80,1000,2045,702,615,,,,1121,802,72%,,,,,,
3,80,2000,565,600,533,,,,566,34,6%,,,,,,
4,80,3000,658,464,619,,,,580,103,18%,,１セット目のサンプルでのグラフ（エラーバーは複数箇所の測定の標準偏差）,,,,
5,80,4000,931,434,739,1311,,,854,367,43%,,厚み vs PEDOT,,,,厚み vs 回転数
6,80,5000,372,360,494,,,,409,74,18%,,,,,,
7,60,500,1287,1321,1715,,,,1441,238,17%,,,,,,
8,60,1000,841,891,831,,,,854,32,4%,,,,,,
9,60,2000,812,777,796,,,,795,18,2%,,,,,,
10,60,3000,,,,546,571,585,567,20,3%,,,,,,
11,60,4000,,,,592,653,649,631,34,5%,,,,,,
12,60,5000,496,517,598,,,,537,54,10%,,,,,,
13,40,500,6559,5778,6456,,,,6264,424,7%,,,,,,
14,40,1000,2854,3062,2465,,,,2794,303,11%,,,,,,
15,40,2000,3133,3388,2880,,,,3134,254,8%,,,,,,
16,40,3000,2260,3202,2625,,,,2696,475,18%,,,,,,
17,40,4000,2296,2317,2528,,,,2380,128,5%,,,,,,
18,40,5000,2057,2189,2015,,,,2087,91,4%,,,,,,
19,30,500,5525,5378,5358,,,,5420,91,2%,,,,,,
20,30,1000,4251,4051,4126,,,,4143,101,2%,,,,,,
21,30,2000,3025,2941,3145,,,,3037,103,3%,,,,,,
22,30,3000,,,,2581,2682,2780,2681,100,4%,,,,,,
23,30,4000,2577,2619,2811,,,,2669,125,5%,,,,,,
24,30,5000,2613,2427,2522,,,,2521,93,4%,,,,,,
25,20,500,7006,6851,7104,,,,6987,128,2%,,,,,,
26,20,1000,4137,4534,4016,,,,4229,271,6%,,,,,,
27,20,2000,3247,3918,3419,,,,3528,349,10%,,,,,,
28,20,3000,4295,4080,3456,,,,3944,436,11%,,,,,,
29,20,4000,2939,3396,2952,,,,3096,260,8%,,,,,,
30,20,5000,2138,3051,2911,,,,2700,492,18%,,,,,,
,,,,,,,,,,,,,,,,,
31,80,500,778,777,1384,,,,980,350,36%,,,,,,
32,80,1000,410,545,651,,,,535,121,23%,,,,,,
33,80,2000,298,457,314,,,,356,88,25%,,,,,,
34,80,3000,342,219,508,,,,356,145,41%,,,,,,
35,80,4000,289,378,323,,,,330,45,14%,,,,,,
36,80,5000,205,222,181,,,,203,21,10%,,,,,,
37,60,500,,,,1690,1803,1633,1709,87,5%,,,,,,
38,60,1000,,,,1185,999,961,1048,120,11%,,,,,,
39,60,2000,,,,775,879,824,826,52,6%,,,,,,
40,60,3000,,,,672,642,741,685,51,7%,,,,,,
41,60,4000,,,,819,712,651,727,85,12%,,,,,,
42,60,5000,572,576,609,,,,586,20,3%,,,,,,
43,40,500,,,,4236,4307,4691,4411,245,6%,,,,,,
44,40,1000,,,,3096,3074,3139,3103,33,1%,,,,,,
45,40,2000,,,,2572,2284,2343,2400,152,6%,,,,,,
46,40,3000,,,,2166,2185,2168,2173,10,0%,,,,,,
47,40,4000,,,,2030,2120,2041,2064,49,2%,,,,,,
48,40,5000,,,,1828,1778,1859,1822,41,2%,,,,,,
49,30,500,,,,5101,5460,5082,5214,213,4%,,,,,,
50,30,1000,,,,3904,3737,3696,3779,110,3%,,,,,,
51,30,2000,,,,2828,2844,2832,2835,8,0%,,,,,,
52,30,3000,,,,2756,2713,2789,2753,38,1%,,,,,,
53,30,4000,,,,2635,2718,2609,2654,57,2%,,,,,,
54,30,5000,,,,2520,2286,2237,2348,151,6%,,,,,,
55,20,500,,,,6783,6608,5912,6434,461,7%,,,,,,
56,20,1000,,,,4079,4115,3933,4042,96,2%,,,,,,
57,20,2000,,,,3196,3338,3233,3256,74,2%,,,,,,
58,20,3000,,,,2683,2765,2919,2789,120,4%,,,,,,
59,20,4000,,,,2752,2779,2749,2760,17,1%,,,,,,
60,20,5000,,,,2504,2404,2563,2490,80,3%,,,,,,
