Slice,X,Y
1,141,345
1,142,440
1,282,440
1,282,345
2,148,351
2,149,448
2,291,448
2,289,352
3,156,357
3,156.667,453
3,300.333,453.667
3,299.667,358.333
4,66.25,249
4,70.667,342.333
4,210,338.333
4,206.333,246.667
5,67.333,250.333
5,71.333,341.333
5,210.667,338.333
5,206.667,246
6,103,208.25
6,103.25,299.75
6,239,302.75
6,240.25,212.25
7,104.75,207
7,103.75,296.75
7,241.25,302.5
7,241,210.75
8,193.5,230.5
8,189,311.5
8,311.75,319.25
8,317,239
9,191.5,220
9,186.5,300.25
9,309.5,308.5
9,313.5,226.25
10,191.5,220.75
10,187.25,300.5
10,309,307.5
10,314.25,226.5
11,109.75,302.5
11,108.5,384
11,232.5,384.75
11,232.75,302.5
12,100.5,310
12,97.75,392
12,222.5,393.75
12,223.5,312
13,158.75,270
13,154.25,348.5
13,274,354
13,277.5,274.75
14,170.75,257
14,165.5,335.5
14,284.25,341.75
14,288.25,262
15,170.75,257
15,166.75,334.25
15,285.25,340.5
15,288.25,262.5
16,148.75,222.5
16,144.25,298.25
16,259.75,304.5
16,263,227.25
