Number,BX,BY,Width,Height
MVI_0785,out0060.png,,,
1,381,217,40,40
MVI_0787,out0060.png,,,
2,395,232,40,40
MVI_0788,out0060.png,,,
3,399,236,40,40
MVI_0789,out0060.png,,,
4,408,190,40,40
MVI_0790,out0060.png,,,
5,408,190,40,40
MVI_0792,out0060.png,,,
6,441,175,40,40
MVI_0793,out0060.png,,,
7,443,172,40,40
40wtperc PU const,out0060.png,,,
8,472,156,40,40
40wtperc PU oxd,out0060.png,,,
9,471,150,40,40
40wtperc PU red,out0060.png,,,
10,471,150,40,40
60wtperc PU const,out0060.png,,,
11,396,232,40,40
60wtperc PU oxd,out0060.png,,,
12,391,234,40,40
60wtperc PU red,out0060.png,,,
13,430,208,40,40
80wtperc PU const,out0060.png,,,
14,444,229,40,40
80wtperc PU oxd,out0060.png,,,
15,447,229,40,40
80wtperc PU red,out0060.png,,,
16,415,195,40,40
