Slice,X,Y
1,61.5,303
1,71.25,346
1,138,329.75
1,129.5,287.5
2,62,302.5
2,71.25,345.25
2,138.25,329.25
2,130.25,287.25
3,62,302.75
3,71,344.75
3,138,329
3,130,287
4,11.75,321.5
4,23,366.25
4,95,346.75
4,85,301.75
5,11.75,321
5,22.75,365.5
5,95,346.25
5,85,301.25
6,12.25,321
6,23.5,365.25
6,95.5,346.25
6,84.5,301
7,199.5,349
7,216.75,387.75
7,274.5,356.75
7,259,317.25
7,370,270.75
7,383,311.5
7,452.75,294
7,438.25,253.75
7,533.5,173.75
7,524.25,215.5
7,588.5,229.25
7,597.75,186.75
8,200,348
8,216.5,386.25
8,275,355.5
8,259,316.25
8,369.75,270.5
8,382.25,310.25
8,452.5,293
8,438.25,253.5
8,533.5,172.5
8,524,214.25
8,588.5,228.5
8,598,186
9,200.5,347.75
9,217,386
9,274.5,355.5
9,259,316
9,369.75,269.5
9,382.5,310
9,452.75,292.75
9,438.25,253
9,533.25,172.25
9,524.75,214.25
9,588.75,228.25
9,597.5,185.75
10,111.5,327
10,128.5,365.5
10,187.5,335.5
10,171.5,296.5
10,275.5,237.25
10,288,272.75
10,356.75,253.5
10,342.5,218.5
10,441,137.75
10,434,179
10,496.5,188.75
10,503.5,147.5
11,113.25,323.5
11,131,362.5
11,189.25,332.5
11,173.25,293.75
11,277.75,234
11,290,269.75
11,358.25,250
11,344,215
11,442,134.25
11,435.5,175
11,497.75,185.75
11,505.5,144.25
12,111,326.75
12,128.75,365
12,188,335.5
12,171.25,296.5
12,275.75,236.75
12,287.75,272.5
12,356.75,253
12,342.5,217
12,440.25,137.5
12,433.5,178.5
12,496.5,189.5
12,503.5,147
13,55.75,345.25
13,68,387
13,134,367
13,122.5,326
13,207.75,259.5
13,215.75,305
13,286,296
13,278.25,249
13,427.25,137.75
13,429,180
13,491.75,177.75
13,490.75,136
14,56.25,345.25
14,68.25,385.75
14,134,366.5
14,122.75,325.75
14,207.5,259.5
14,216,305
14,286,295.25
14,278.25,249.5
14,427.5,137.75
14,428.75,180
14,491.75,178.25
14,490.75,135
15,59.75,334
15,71.5,374.75
15,136.75,356
15,126,315
15,210.75,249.5
15,219,294.5
15,289,285.75
15,281.25,239.5
15,429,130.75
15,430,171.75
15,493.25,169.75
15,492,129
16,44.5,342.5
16,57,386
16,127.75,366.5
16,116.25,322.25
16,207.25,251.75
16,215.25,299.75
16,290.25,290.75
16,282,241.75
16,442.5,124.75
16,443,169.5
16,511.75,167.75
16,510.25,122.75
17,44.5,342.5
17,57,385.5
17,127.5,365.75
17,116.5,322
17,207.5,251.5
17,215.75,299
17,290.25,290.5
17,282.25,241
17,442.5,124.25
17,443.5,169.25
17,511.25,167.25
17,509.75,123
18,44.75,342.25
18,57.25,385.25
18,127.75,365.75
18,116.25,321.75
18,206.75,251.25
18,216,299.75
18,290.5,290.25
18,282.5,241.5
18,442.5,124.25
18,444.5,169
18,511.5,167
18,511,122.5
19,38.5,324.5
19,51.5,367.75
19,121.25,347.5
19,109.75,303
19,199.5,231.5
19,208.75,279
19,283.5,268.75
19,274.5,219.75
19,432.25,102.75
19,434.25,148.25
19,501.5,145.75
19,499.75,100.5
20,38.5,324
20,52.25,367.75
20,121.75,346.5
20,109.75,302.75
20,199.75,231
20,209,278.25
20,284,267.5
20,274.75,219.25
20,432.5,102.75
20,435,147.25
20,502,144.75
20,500.5,100.25
21,39,323.75
21,52,367.5
21,121.5,346.25
21,109.75,302.25
21,199.75,230.5
21,209,278.25
21,284,267.75
21,274.25,219
21,433.25,102.25
21,434.75,146.5
21,502,145.25
21,500.75,100.5
22,19.25,346
22,30,390.25
22,102,374.75
22,92.5,329.75
22,185.5,266.5
22,190.25,315
22,266.5,312
22,261.75,261.25
22,438.75,150.75
22,438,197.25
22,507.5,199.75
22,509,152.75
23,19.25,346
23,30,389.25
23,101.75,374.5
23,91.75,329.5
23,185,266.25
23,190.5,315.25
23,266.5,312.5
23,261,262
23,439.5,150.75
23,439,196.5
23,508.25,199.25
23,510,152.75
24,154.25,344.5
24,166.25,387.25
24,229.5,364.5
24,218.5,321.5
24,299.75,251
24,300.75,289.75
24,374,290.5
24,371.5,252
24,493.25,199
24,500.25,241.75
24,563,233.25
24,556,190
25,112.5,340.75
25,125.75,386.25
25,194,360.5
25,181.25,315.5
25,280.5,230
25,284,279.25
25,359.75,274.75
25,356.75,224
25,481.25,214.5
25,493.75,259.25
25,559.5,244
25,546.75,198.5
26,112.75,340.75
26,126.5,386
26,194,360.5
26,181.25,315.75
26,280.75,230.5
26,284,279.25
26,360,273.5
26,356.25,224.25
26,481.5,213.5
26,494.25,258.25
26,559.5,243.5
26,546.75,198.75
27,113,340.25
27,126.25,385.75
27,193.5,360
27,181,315.25
27,280.75,230.75
27,284.25,280
27,359.5,274
27,356.5,225
27,481.25,213.25
27,494,257.75
27,559.25,242.5
27,546.5,198
28,72.5,333
28,87,377.5
28,155,350.75
28,140.75,305.75
28,236.5,218.25
28,241.5,263.25
28,317.5,256.5
28,309.75,210
28,437.75,198.75
28,451,243
28,516,227.75
28,502.75,183.25
29,72.75,332.75
29,87.25,377.25
29,155,351.5
29,141,305
29,236.75,218
29,241.5,263.75
29,317.75,256.25
29,309.25,210
29,438.5,197.5
29,451,242
29,516.25,227
29,503.75,183
30,73,333.25
30,87.75,377
30,155,350.75
30,141.5,306.25
30,236.75,218
30,241.75,263.25
30,317.5,256
30,310.25,210.75
30,438.5,199.25
30,451,242.75
30,516.75,227.75
30,502.5,183.5
