file,mode,samples
MVI_7877.MOV,const,"1,2,3"
MVI_7878.MOV,ox,"1,2,3"
MVI_7879.MOV,red,"1,2,3"
MVI_7881.MOV,const,"4,5,6"
MVI_7882.MOV,ox,"4,5,6"
MVI_7883.MOV,red,"4,5,6"
MVI_7888.MOV,const,"7,8,9"
MVI_7889.MOV,ox,"7,8,9"
MVI_7890.MOV,red,"7,8,9"
MVI_7892.MOV,red,"10,11,12"
MVI_7893.MOV,ox,"10,11,12"
MVI_7894.MOV,const,"10,11,12"
MVI_7895.MOV,const,"13,14,15"
MVI_7896.MOV,ox,"13,14,15"
MVI_7898.MOV,red,"13,14,15"
MVI_7899.MOV,const,"16,17,18"
MVI_7900.MOV,ox,"16,17,18"
MVI_7901.MOV,red,"16,17,18"
MVI_7902.MOV,const,"19,20,21"
MVI_7903.MOV,ox,"19,20,21"
MVI_7904.MOV,red,"19,20,21"
MVI_7905.MOV,const,"22,23,24"
MVI_7906.MOV,ox,"22,23,24"
MVI_7909.MOV,red,"22,23,24"
MVI_7910.MOV,const,"25,26,27"
MVI_7911.MOV,ox,"25,26,27"
MVI_7912.MOV,red,"25,26,27"
MVI_7913.MOV,const,"28,29,30"
MVI_7914.MOV,ox,"28,29,30"
MVI_7915.MOV,red,"28,29,30"
