Number,Area,Mean,Stdev,Mode,Min,Max,BX,BY,Width,Height
7877,0060.png,,,,,,,,,
1,121,100.215,1.78,100,95,105,306,60,11,11
2,81,116.889,1.673,117,110,120,211,109,9,9
3,144,142.847,7.659,136,124,157,335,189,12,12
,,,,,,,,,,
7878,0060.png,,,,,,,,,
1,56,6.643,2.445,5,3,11,315,64,7,8
2,42,26.31,1.44,27,23,28,210,112,6,7
3,49,51.571,5.817,45,43,64,336,191,7,7
,,,,,,,,,,
7879,0060.png,,,,,,,,,
1,121,6.884,3.59,5,2,20,314,65,11,11
2,72,15,1.267,15,12,18,208,113,9,8
3,88,35.943,5.935,31,28,51,336,189,8,11
,,,,,,,,,,
7881,0060.png,,,,,,,,,
1,72,33.333,2.409,34,29,38,292,88,8,9
2,100,51.63,5.734,54,38,68,206,122,10,10
3,72,73.972,4.003,76,61,82,296,200,8,9
,,,,,,,,,,
7882,0060.png,,,,,,,,,
1,64,30,2.316,28,26,36,291,88,8,8
2,72,41.958,3.119,42,36,49,170,136,9,8
3,81,67.593,6.589,68,41,78,289,198,9,9
,,,,,,,,,,
7883,,,,,,,,,,
1,81,20.815,2.324,23,17,26,292,87,9,9
2,100,32.45,2.969,34,24,37,174,134,10,10
3,81,53.272,5.891,52,38,69,296,201,9,9
,,,,,,,,,,
7888,,,,,,,,,,
1,49,11.245,1.3,10,9,14,419,85,7,7
2,49,38.857,1.581,38,35,42,316,120,7,7
3,49,39.49,3.083,40,33,44,445,149,7,7
,,,,,,,,,,
7889,,,,,,,,,,
1,100,40.26,3.839,38,35,48,425,86,10,10
2,90,64.167,3.685,68,57,71,319,119,10,9
3,81,77.914,4.464,81,66,84,442,148,9,9
,,,,,,,,,,
7890,,,,,,,,,,
1,72,47.875,5.371,50,34,56,423,89,9,8
2,49,71.612,2.139,71,67,76,319,121,7,7
3,90,90.456,5.198,94,77,99,445,146,9,10
,,,,,,,,,,
7892,,,,,,,,,,
1,110,64.591,4.801,60,56,82,312,62,10,11
2,90,73.733,5.796,67,66,90,219,104,9,10
3,110,88.827,8.087,88,70,104,349,153,10,11
,,,,,,,,,,
7893,,,,,,,,,,
1,110,64.591,4.801,60,56,82,312,62,10,11
2,90,73.733,5.796,67,66,90,219,104,9,10
3,110,88.827,8.087,88,70,104,349,153,10,11
,,,,,,,,,,
7894,,,,,,,,,,
1,110,64.591,4.801,60,56,82,312,62,10,11
2,90,73.733,5.796,67,66,90,219,104,9,10
3,110,88.827,8.087,88,70,104,349,153,10,11
,,,,,,,,,,
7895,,,,,,,,,,
1,81,28.667,2.868,26,24,35,289,83,9,9
2,90,75.733,4.282,77,64,85,212,135,10,9
3,90,94.644,2.25,95,89,99,297,167,9,10
,,,,,,,,,,
7896,,,,,,,,,,
1,81,28.667,2.868,26,24,35,289,83,9,9
2,90,75.733,4.282,77,64,85,212,135,10,9
3,90,94.644,2.25,95,89,99,297,167,9,10
,,,,,,,,,,
7898,,,,,,,,,,
1,72,7.681,0.99,8,5,9,291,76,8,9
2,72,21.319,2.663,23,13,24,214,130,8,9
3,64,30.672,1.358,32,28,33,300,157,8,8
,,,,,,,,,,
7899,,,,,,,,,,
1,100,52.14,3.709,52,45,62,308,63,10,10
2,81,82.025,6.716,89,67,92,203,121,9,9
3,81,108.728,2.439,109,105,114,323,159,9,9
,,,,,,,,,,
7900,,,,,,,,,,
1,100,52.14,3.709,52,45,62,308,63,10,10
2,81,82.025,6.716,89,67,92,203,121,9,9
3,81,108.728,2.439,109,105,114,323,159,9,9
,,,,,,,,,,
7901,,,,,,,,,,
1,100,52.14,3.709,52,45,62,308,63,10,10
2,81,82.025,6.716,89,67,92,203,121,9,9
3,81,108.728,2.439,109,105,114,323,159,9,9
,,,,,,,,,,
7902,,,,,,,,,,
1,90,35.056,2.861,34,32,48,303,45,9,10
2,90,64.544,1.961,65,59,68,195,79,10,9
3,81,80.864,1.579,81,78,84,328,152,9,9
,,,,,,,,,,
7903,,,,,,,,,,
1,90,35.056,2.861,34,32,48,303,45,9,10
2,90,64.544,1.961,65,59,68,195,79,10,9
3,81,80.864,1.579,81,78,84,328,152,9,9
,,,,,,,,,,
7904,,,,,,,,,,
1,90,35.056,2.861,34,32,48,303,45,9,10
2,90,64.544,1.961,65,59,68,195,79,10,9
3,81,80.864,1.579,81,78,84,328,152,9,9
,,,,,,,,,,
7905,,,,,,,,,,
1,90,78.133,8.115,67,66,98,318,82,9,10
2,99,86.808,1.614,86,83,90,191,114,9,11
3,110,95.264,1.657,96,92,100,346,187,10,11
,,,,,,,,,,
7906,,,,,,,,,,
1,90,78.133,8.115,67,66,98,318,82,9,10
2,99,86.808,1.614,86,83,90,191,114,9,11
3,110,95.264,1.657,96,92,100,346,187,10,11
,,,,,,,,,,
7909,,,,,,,,,,
1,90,92,3.291,89,85,101,376,64,10,9
2,81,63.395,4.692,61,53,74,288,122,9,9
3,81,109.938,3.183,112,102,116,402,167,9,9
,,,,,,,,,,
7910,,,,,,,,,,
1,90,83.067,4.924,86,69,91,348,65,10,9
2,90,103.711,4.904,107,94,112,228,101,9,10
3,90,123.633,3.07,126,116,128,378,157,10,9
,,,,,,,,,,
7911,,,,,,,,,,
1,110,84.782,3.497,86,73,91,349,62,10,11
2,81,106.778,4.407,109,96,115,223,101,9,9
3,90,125.544,2.571,125,118,133,378,155,9,10
,,,,,,,,,,
7912,,,,,,,,,,
1,110,84.782,3.497,86,73,91,349,62,10,11
2,81,106.778,4.407,109,96,115,223,101,9,9
3,90,125.544,2.571,125,118,133,378,155,9,10
,,,,,,,,,,
7913,,,,,,,,,,
1,100,78.37,6.046,75,71,95,286,50,10,10
2,100,114.13,4.931,108,105,124,188,97,10,10
3,99,124.636,4.67,121,117,134,321,143,9,11
,,,,,,,,,,
7914,,,,,,,,,,
1,100,78.37,6.046,75,71,95,286,50,10,10
2,100,114.13,4.931,108,105,124,188,97,10,10
3,99,124.636,4.67,121,117,134,321,143,9,11
,,,,,,,,,,
7915,,,,,,,,,,
1,100,78.37,6.046,75,71,95,286,50,10,10
2,100,114.13,4.931,108,105,124,188,97,10,10
3,99,124.636,4.67,121,117,134,321,143,9,11
