Number,Area,Mean,Stdev,Mode,Min,Max,BX,BY,Width,Height,Slice
7916,0000.png,,,,,,,,,,
1,144,19.389,3.581,18,12,27,318,73,12,12,1
2,144,46.854,5.904,43,37,61,249,96,12,12,1
3,144,70.951,12.097,57,53,99,368,179,12,12,1
7917,0000.png,,,,,,,,,,
1,144,19.389,3.581,18,12,27,318,73,12,12,1
2,144,46.854,5.904,43,37,61,249,96,12,12,1
3,144,70.951,12.097,57,53,99,368,179,12,12,1
7918,0000.png,,,,,,,,,,
1,144,19.389,3.581,18,12,27,318,73,12,12,1
2,144,46.854,5.904,43,37,61,249,96,12,12,1
3,144,70.951,12.097,57,53,99,368,179,12,12,1
7919,0000.png,,,,,,,,,,
4,144,75.382,13.084,85,46,105,313,93,12,12,4
5,144,98.062,12.708,87,74,126,227,152,12,12,4
6,144,108.889,12.794,104,88,146,390,196,12,12,4
7920,0000.png,,,,,,,,,,
4,144,75.382,13.084,85,46,105,313,93,12,12,4
5,144,98.062,12.708,87,74,126,227,152,12,12,4
6,144,108.889,12.794,104,88,146,390,196,12,12,4
7921,0000.png,,,,,,,,,,
4,144,75.382,13.084,85,46,105,313,93,12,12,4
5,144,98.062,12.708,87,74,126,227,152,12,12,4
6,144,108.889,12.794,104,88,146,390,196,12,12,4
7922,,,,,,,,,,,
7,144,45.278,6.155,43,33,60,291,85,12,12,7
8,144,76.611,13.388,85,51,99,226,149,12,12,7
9,144,81.993,10.146,78,49,109,357,194,12,12,7
7923,,,,,,,,,,,
7,144,45.278,6.155,43,33,60,291,85,12,12,7
8,144,76.611,13.388,85,51,99,226,149,12,12,7
9,144,81.993,10.146,78,49,109,357,194,12,12,7
7924,,,,,,,,,,,
7,144,45.278,6.155,43,33,60,291,85,12,12,7
8,144,76.611,13.388,85,51,99,226,149,12,12,7
9,144,81.993,10.146,78,49,109,357,194,12,12,7
7925,,,,,,,,,,,
10,144,91.556,13.636,76,70,113,310,116,12,12,10
11,144,66.444,5.849,63,56,78,231,182,12,12,10
12,144,93.431,7.377,91,79,107,358,219,12,12,10
7926,,,,,,,,,,,
13,144,70.757,6.976,72,55,83,364,127,12,12,11
14,144,45.868,5.102,48,35,57,286,187,12,12,11
15,144,67.528,8.096,58,52,81,410,223,12,12,11
7927,,,,,,,,,,,
13,144,70.757,6.976,72,55,83,364,127,12,12,11
14,144,45.868,5.102,48,35,57,286,187,12,12,11
15,144,67.528,8.096,58,52,81,410,223,12,12,11
7928,,,,,,,,,,,
16,144,38.049,2.354,38,33,46,378,101,12,12,13
17,144,54.889,6.464,54,44,70,291,150,12,12,13
18,144,77.708,5.048,74,70,95,426,190,12,12,13
7929,,,,,,,,,,,
16,144,38.049,2.354,38,33,46,378,101,12,12,13
17,144,54.889,6.464,54,44,70,291,150,12,12,13
18,144,77.708,5.048,74,70,95,426,190,12,12,13
7930,,,,,,,,,,,
16,144,38.049,2.354,38,33,46,378,101,12,12,13
17,144,54.889,6.464,54,44,70,291,150,12,12,13
18,144,77.708,5.048,74,70,95,426,190,12,12,13
7932,,,,,,,,,,,
19,144,73.84,6.15,73,63,88,368,112,12,12,16
20,144,77.056,7.463,80,56,87,274,151,12,12,16
21,144,79.278,4.631,77,72,93,411,201,12,12,16
7933,,,,,,,,,,,
19,144,73.84,6.15,73,63,88,368,112,12,12,16
20,144,77.056,7.463,80,56,87,274,151,12,12,16
21,144,79.278,4.631,77,72,93,411,201,12,12,16
7934,,,,,,,,,,,
19,144,73.84,6.15,73,63,88,368,112,12,12,16
20,144,77.056,7.463,80,56,87,274,151,12,12,16
21,144,79.278,4.631,77,72,93,411,201,12,12,16
7936,,,,,,,,,,,
22,144,76.542,3.328,78,67,82,403,75,12,12,19
23,144,81.639,7.175,82,67,93,332,114,12,12,19
24,144,122.139,4.359,126,111,133,488,171,12,12,19
7937,,,,,,,,,,,
22,144,76.542,3.328,78,67,82,403,75,12,12,19
23,144,81.639,7.175,82,67,93,332,114,12,12,19
24,144,122.139,4.359,126,111,133,488,171,12,12,19
7938,,,,,,,,,,,
22,144,76.542,3.328,78,67,82,403,75,12,12,19
23,144,81.639,7.175,82,67,93,332,114,12,12,19
24,144,122.139,4.359,126,111,133,488,171,12,12,19
7939,,,,,,,,,,,
25,144,100.097,3.869,98,90,110,270,109,12,12,22
26,144,93.174,9.974,92,72,115,194,152,12,12,22
27,144,122.639,8.553,117,108,139,306,209,12,12,22
7940,,,,,,,,,,,
25,144,100.097,3.869,98,90,110,270,109,12,12,22
26,144,93.174,9.974,92,72,115,194,152,12,12,22
27,144,122.639,8.553,117,108,139,306,209,12,12,22
7941,,,,,,,,,,,
25,144,100.097,3.869,98,90,110,270,109,12,12,22
26,144,93.174,9.974,92,72,115,194,152,12,12,22
27,144,122.639,8.553,117,108,139,306,209,12,12,22
7942,,,,,,,,,,,
28,144,73.583,11.412,82,44,88,382,98,12,12,25
29,144,80.118,10.103,80,61,100,293,148,12,12,25
30,144,120.521,11.182,110,103,139,410,211,12,12,25
7943,,,,,,,,,,,
28,144,73.583,11.412,82,44,88,382,98,12,12,25
29,144,80.118,10.103,80,61,100,293,148,12,12,25
30,144,120.521,11.182,110,103,139,410,211,12,12,25
7944,,,,,,,,,,,
28,144,73.583,11.412,82,44,88,382,98,12,12,25
29,144,80.118,10.103,80,61,100,293,148,12,12,25
30,144,120.521,11.182,110,103,139,410,211,12,12,25
7945,,,,,,,,,,,
31,144,87.097,8.03,84,68,105,308,146,12,12,28
32,144,86.299,6.991,91,75,107,241,203,12,12,28
33,144,113.472,3.935,110,105,122,358,233,12,12,28
7946,,,,,,,,,,,
34,144,89.729,4.03,90,81,99,263,138,12,12,29
35,144,94.639,4.784,93,86,112,195,201,12,12,29
36,144,121.25,3.22,121,109,129,326,242,12,12,29
7947,,,,,,,,,,,
37,144,83.326,4.909,81,75,97,265,141,12,12,30
38,144,89.139,3.525,86,82,100,190,204,12,12,30
39,144,113.875,5.267,116,98,123,328,242,12,12,30
