Slice,X,Y
1,499.333,334
1,486,396.667
1,581.333,406
1,598.667,343.333
2,522.667,308
2,518,381.333
2,624,380
2,630.667,306
3,522.667,384.667
3,510.667,462.667
3,623.333,472
3,638.667,396.667
4,514,331.333
4,503.333,406
4,613.333,412.667
4,625.333,338
5,506,365.333
5,500,441.333
5,611.333,440.667
5,617.333,364.667
6,512.667,339.333
6,492.667,413.333
6,605.333,439.333
6,626.667,366.667
7,518,362.667
7,498.667,436
7,610.667,464
7,632.667,391.333
8,466.667,354.667
8,453.333,414
8,544.667,428.667
8,558,369.333
